ダウンロードした時刻：2024/06/06 20:41:27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,日高,日高,日高,日高,日高,日高,日高,日高,日高,日高,日高,日高,日高,日高,日高,日高,日高,日高,日高,日高,日高,日高,日高,日高,日高,日高,日高,日高,日高,日高,日高,日高,日高,日高,日高,日高,日高,日高,日高,日高,日高,日高,日高,日高,日高,日高,日高,日高,日高,日高,日高,日高,日高,日高,日高,日高,日高,日高,日高,日高,日高,日高,日高,日高,日高,日高,日高,日高,日高,日高,日高,日高,日高,日高,日高,日高,日高,日高,日高,日高,日高,日高
,日高,日高,日高,日高,日高,日高,日高,日高,日高,日高,日高門別,日高門別,日高門別,日高門別,日高門別,日高門別,日高門別,日高門別,日高門別,日高門別,新和,新和,新和,新和,新和,新和,新和,新和,新和,新和,静内,静内,静内,静内,静内,静内,静内,静内,静内,静内,三石,三石,三石,三石,三石,三石,三石,三石,三石,三石,中杵臼,中杵臼,中杵臼,中杵臼,中杵臼,中杵臼,中杵臼,中杵臼,中杵臼,中杵臼,浦河,浦河,浦河,浦河,浦河,浦河,浦河,浦河,浦河,浦河,浦河,浦河,えりも岬,えりも岬,えりも岬,えりも岬,えりも岬,えりも岬,えりも岬,えりも岬,えりも岬,えりも岬
年月,降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃)
,,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,,平年値(mm),平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃)
,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報
2023/1,23.5,8,1,45.4,8,-8.9,8,1,-7.6,8,10.0,8,1,25.2,8,-5.6,8,1,-4.9,8,14.0,8,1,42.2,8,-8.8,8,1,-7.1,8,14.5,8,1,31.6,8,-4.4,8,1,-3.4,8,15.0,8,1,38.4,8,-5.4,8,1,-4.6,8,13.0,8,1,56.4,8,-7.1,8,1,-6.6,8,20.0,0,8,1,34.0,0,8,-3.3,8,1,-2.4,8,5.0,8,1,24.3,8,-2.6,8,1,-1.8,8
2023/2,34.5,8,1,41.3,8,-6.8,8,1,-6.8,8,20.5,8,1,24.0,8,-4.0,8,1,-4.3,8,34.0,8,1,40.0,8,-6.3,8,1,-6.1,8,22.5,8,1,25.5,8,-3.3,8,1,-2.9,8,23.0,8,1,35.7,8,-4.3,8,1,-4.2,8,23.0,8,1,52.7,8,-5.7,8,1,-5.7,8,18.0,0,8,1,28.9,0,8,-2.2,8,1,-2.1,8,3.5,8,1,16.6,8,-2.0,8,1,-2.2,8
2023/3,124.5,8,1,69.3,8,1.3,8,1,-2.1,8,68.5,8,1,38.3,8,3.1,8,1,0.1,8,107.0,8,1,69.3,8,1.9,8,1,-0.9,8,71.5,8,1,46.4,8,3.8,8,1,0.8,8,93.0,8,1,62.7,8,2.6,8,1,-0.2,8,105.5,8,1,93.7,8,2.4,8,1,-1.2,8,79.0,0,8,1,48.8,0,8,3.8,8,1,0.9,8,81.0,8,1,35.9,8,2.5,8,1,0.1,8
2023/4,201.5,8,1,100.4,8,6.7,8,1,4.3,8,104.5,8,1,65.7,8,7.1,8,1,5.3,8,197.0,8,1,98.5,8,6.9,8,1,5.1,8,141.5,8,1,74.2,8,7.7,8,1,5.7,8,155.5,8,1,98.7,8,6.8,8,1,4.7,8,268.5,8,1,137.4,8,6.9,8,1,4.7,8,126.5,0,8,1,77.9,0,8,7.3,8,1,5.2,8,115.0,8,1,67.8,8,5.6,8,1,3.4,8
2023/5,78.0,8,1,115.2,8,11.7,8,1,11.0,8,39.5,8,1,97.1,8,11.0,8,1,10.5,8,64.0,8,1,127.7,8,11.7,8,1,11.3,8,52.5,8,1,114.9,8,11.3,8,1,10.8,8,70.5,8,1,146.3,8,10.5,8,1,10.0,8,74.5,8,1,195.4,8,11.1,8,1,10.5,8,58.5,0,8,1,125.3,0,8,10.4,8,1,9.7,8,45.5,8,1,99.5,8,8.6,8,1,7.2,8
2023/6,124.5,8,1,77.5,8,17.1,8,1,15.6,8,56.0,8,1,87.0,8,16.2,8,1,14.5,8,54.5,8,1,99.4,8,17.3,8,1,15.6,8,43.0,8,1,86.4,8,17.0,8,1,14.7,8,28.0,8,1,105.5,8,16.6,8,1,14.2,8,46.5,8,1,139.7,8,16.7,8,1,14.6,8,29.0,0,8,1,95.9,0,8,16.2,8,1,13.5,8,40.0,8,1,85.9,8,14.1,8,1,11.1,8
2023/7,90.0,8,1,140.3,8,22.1,8,1,19.5,8,65.5,8,1,130.7,8,21.3,8,1,18.6,8,106.5,8,1,150.6,8,22.2,8,1,19.7,8,95.0,8,1,131.6,8,21.7,8,1,18.7,8,83.5,8,1,158.7,8,21.3,8,1,18.4,8,140.5,8,1,188.9,8,21.3,8,1,18.6,8,101.5,0,8,1,141.5,0,8,20.3,8,1,17.7,8,75.0,8,1,128.8,8,18.0,8,1,15.2,8
2023/8,95.5,8,1,224.1,8,24.5,8,1,20.2,8,55.5,8,1,178.5,8,24.7,8,1,20.5,8,100.5,8,1,206.3,8,25.3,8,1,20.7,8,31.5,8,1,170.9,8,25.5,8,1,20.7,8,91.0,8,1,182.4,8,25.0,8,1,20.0,8,173.5,8,1,239.3,8,24.0,8,1,19.7,8,61.5,0,8,1,161.6,0,8,24.7,8,1,19.9,8,60.0,8,1,129.2,8,21.3,8,1,17.7,8
2023/9,180.0,8,1,164.4,8,19.0,8,1,15.6,8,140.5,8,1,127.3,8,20.3,8,1,17.3,8,159.5,8,1,161.2,8,19.7,8,1,16.5,8,223.0,8,1,131.4,8,20.8,8,1,17.8,8,192.5,8,1,152.3,8,19.9,8,1,16.6,8,294.0,8,1,194.6,8,18.8,8,1,15.8,8,279.0,0,8,1,144.4,0,8,20.7,8,1,17.7,8,178.5,8,1,137.8,8,20.3,8,1,16.9,8
2023/10,154.0,8,1,136.0,8,9.7,8,1,8.6,8,75.0,8,1,93.8,8,12.0,8,1,10.9,8,88.0,8,1,125.0,8,10.3,8,1,9.3,8,94.0,8,1,98.2,8,12.6,8,1,11.6,8,153.0,8,1,127.2,8,11.1,8,1,10.1,8,386.0,8,1,193.9,8,9.9,8,1,9.1,8,157.0,0,8,1,117.7,0,8,12.9,8,1,12.3,8,97.0,8,1,117.0,8,13.8,8,1,12.5,8
2023/11,239.0,8,1,122.9,8,3.9,8,1,1.9,8,123.5,8,1,73.0,8,6.5,8,1,4.4,8,228.5,8,1,106.6,8,4.6,8,1,2.6,8,147.0,8,1,80.6,8,7.2,8,1,5.3,8,161.5,8,1,94.2,8,6.2,8,1,4.2,8,244.5,8,1,147.4,8,5.2,8,1,3.0,8,104.5,0,8,1,83.4,0,8,7.5,8,1,6.1,8,106.5,8,1,85.6,8,8.0,8,1,6.8,8
2023/12,30.5,8,1,73.9,8,-4.3,8,1,-4.8,8,17.0,8,1,43.3,8,-1.5,8,1,-2.1,8,24.5,5,1,74.0,8,-3.8,5,1,-4.2,8,33.5,8,1,51.7,8,-0.9,8,1,-0.8,8,26.0,8,1,59.6,8,-1.8,8,1,-1.8,8,31.5,4,1,93.9,8,-3.1,4,1,-3.4,8,15.5,0,8,1,59.0,0,8,0.1,8,1,0.1,8,10.5,8,1,48.7,8,1.1,8,1,1.0,8