ダウンロードした時刻：2024/06/06 20:43:55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,檜山,檜山,檜山,檜山,檜山,檜山,檜山,檜山,檜山,檜山,檜山,檜山,檜山,檜山,檜山,檜山,檜山,檜山,檜山,檜山,檜山,檜山,檜山,檜山,檜山,檜山,檜山,檜山,檜山,檜山,檜山,檜山,檜山,檜山,檜山,檜山,檜山,檜山,檜山,檜山,檜山,檜山,檜山,檜山,檜山,檜山,檜山,檜山,檜山,檜山,檜山,檜山,檜山,檜山,檜山,檜山,檜山,檜山,檜山,檜山,檜山,檜山
,せたな,せたな,せたな,せたな,せたな,せたな,せたな,せたな,せたな,せたな,今金,今金,今金,今金,今金,今金,今金,今金,今金,今金,奥尻,奥尻,奥尻,奥尻,奥尻,奥尻,奥尻,奥尻,奥尻,奥尻,米岡,米岡,米岡,米岡,米岡,米岡,米岡,米岡,米岡,米岡,鶉,鶉,鶉,鶉,鶉,鶉,鶉,鶉,鶉,鶉,江差,江差,江差,江差,江差,江差,江差,江差,江差,江差,江差,江差
年月,降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃)
,,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,,平年値(mm),平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃)
,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,,品質情報,均質番号,,品質情報
2023/1,41.0,8,1,53.7,8,-2.9,8,1,-1.9,8,98.5,8,1,105.0,8,-4.5,8,1,-3.6,8,31.0,8,1,29.6,8,-1.0,8,1,-0.4,8,31.0,8,1,31.3,8,-2.3,8,1,-1.6,8,99.0,8,1,91.3,8,-4.9,8,1,-3.7,8,91.0,0,8,1,84.9,0,8,-1.2,8,1,-0.6,8
2023/2,51.0,8,1,48.3,8,-1.0,8,1,-1.4,8,75.0,8,1,85.8,8,-2.7,8,1,-3.0,8,19.0,8,1,34.1,8,0.6,8,1,-0.2,8,27.5,8,1,30.9,8,-0.5,8,1,-1.0,8,46.5,8,1,73.2,8,-3.0,8,1,-3.0,8,52.5,0,8,1,68.4,0,8,0.3,8,1,-0.2,8
2023/3,36.0,8,1,51.1,8,4.7,8,1,1.7,8,44.5,8,1,71.7,8,3.2,8,1,0.3,8,57.5,8,1,42.4,8,6.3,8,1,3.0,8,33.5,8,1,40.3,8,5.8,8,1,2.3,8,41.5,8,1,72.0,8,3.2,8,1,0.5,8,36.0,0,8,1,63.6,0,8,6.1,8,1,2.9,8
2023/4,77.0,8,1,68.8,8,8.4,8,1,6.5,8,75.5,8,1,78.6,8,7.6,8,1,5.7,8,97.0,8,1,64.2,8,8.9,8,1,7.4,8,80.0,8,1,53.0,8,8.4,8,1,6.8,8,121.5,8,1,80.9,8,8.0,8,1,6.0,8,131.0,0,8,1,74.7,0,8,9.3,8,1,7.7,8
2023/5,46.5,8,1,94.9,8,12.4,8,1,11.1,8,47.5,8,1,105.5,8,12.2,8,1,11.1,8,39.5,8,1,83.8,8,12.8,8,1,11.7,8,50.0,8,1,87.4,8,12.5,8,1,11.3,8,59.5,8,1,103.5,8,12.1,8,1,11.4,8,71.0,0,8,1,98.0,0,8,13.4,8,1,12.3,8
2023/6,111.0,8,1,67.3,8,17.8,8,1,15.3,8,125.0,8,1,74.4,8,17.6,8,1,15.4,8,149.5,8,1,76.3,8,18.5,8,1,16.0,8,151.0,8,1,82.7,8,18.3,8,1,15.8,8,114.5,8,1,86.2,8,17.9,8,1,15.8,8,137.0,0,8,1,78.6,0,8,18.6,8,1,16.4,8
2023/7,44.5,8,1,116.3,8,22.4,8,1,19.5,8,91.0,8,1,131.4,8,22.2,8,1,19.5,8,50.5,8,1,113.3,8,22.5,8,1,20.1,8,101.0,8,1,108.4,8,21.9,8,1,19.8,8,156.5,8,1,143.7,8,21.9,8,1,19.8,8,103.5,0,8,1,126.4,0,8,22.8,8,1,20.6,8
2023/8,77.5,8,1,145.5,8,25.7,8,1,21.4,8,108.0,8,1,166.0,8,25.1,8,1,21.1,8,44.5,8,1,127.1,8,26.2,8,1,22.5,8,35.0,8,1,112.0,8,25.9,8,1,22.2,8,50.0,8,1,186.5,8,25.2,8,1,21.2,8,11.5,0,8,1,167.0,0,8,26.7,8,1,22.6,8
2023/9,247.5,8,1,145.4,8,20.8,8,1,18.2,8,144.5,8,1,151.4,8,19.8,8,1,17.1,8,169.0,8,1,122.7,8,22.7,8,1,20.0,8,139.5,8,1,113.8,8,21.8,8,1,19.4,8,178.0,8,1,149.7,8,19.6,8,1,17.1,8,213.5,0,8,1,135.6,0,8,22.2,8,1,19.5,8
2023/10,57.5,4,1,104.6,8,13.4,8,1,12.4,8,157.5,8,1,126.3,8,11.5,8,1,10.6,8,86.5,8,1,90.4,8,15.5,8,1,14.2,8,91.5,8,1,76.8,8,14.6,8,1,13.5,8,127.0,8,1,122.1,8,11.2,8,1,10.5,8,97.0,0,8,1,105.5,0,8,14.7,8,1,13.7,8
2023/11,134.5,8,1,99.1,8,7.1,8,1,6.1,8,186.0,8,1,124.3,8,6.0,8,1,4.3,8,106.0,8,1,84.2,8,8.4,8,1,7.6,8,81.0,8,1,74.1,8,7.4,8,1,7.0,8,198.0,8,1,131.3,8,6.0,8,1,4.5,8,213.0,0,8,1,118.6,0,8,8.6,8,1,7.5,8
2023/12,75.5,8,1,72.0,8,-0.1,8,1,0.3,8,163.5,8,1,121.7,8,-1.6,8,1,-1.4,8,70.5,8,1,61.9,8,1.8,8,1,1.7,8,52.5,8,1,57.7,8,0.6,8,1,0.8,8,78.0,8,1,112.7,8,-1.4,8,1,-1.3,8,76.5,0,8,1,109.5,0,8,1.7,8,1,1.6,8