ダウンロードした時刻：2024/06/06 22:52:24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京
,小河内,小河内,小河内,小河内,小河内,小河内,小河内,小河内,小河内,小河内,青梅,青梅,青梅,青梅,青梅,青梅,青梅,青梅,青梅,青梅,練馬,練馬,練馬,練馬,練馬,練馬,練馬,練馬,練馬,練馬,八王子,八王子,八王子,八王子,八王子,八王子,八王子,八王子,八王子,八王子,府中,府中,府中,府中,府中,府中,府中,府中,府中,府中,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,江戸川臨海,江戸川臨海,江戸川臨海,江戸川臨海,江戸川臨海,江戸川臨海,江戸川臨海,江戸川臨海,江戸川臨海,江戸川臨海,羽田,羽田,羽田,羽田,羽田,羽田,羽田,羽田,羽田,羽田,大島,大島,大島,大島,大島,大島,大島,大島,大島,大島,大島,大島,大島北ノ山,大島北ノ山,大島北ノ山,大島北ノ山,大島北ノ山,大島北ノ山,大島北ノ山,大島北ノ山,大島北ノ山,大島北ノ山,新島,新島,新島,新島,新島,新島,新島,新島,新島,新島,神津島,神津島,神津島,神津島,神津島,神津島,神津島,神津島,神津島,神津島,三宅島,三宅島,三宅島,三宅島,三宅島,三宅島,三宅島,三宅島,三宅島,三宅島,三宅島,三宅島,三宅坪田,三宅坪田,三宅坪田,三宅坪田,三宅坪田,三宅坪田,三宅坪田,三宅坪田,三宅坪田,三宅坪田,八重見ヶ原,八重見ヶ原,八重見ヶ原,八重見ヶ原,八重見ヶ原,八重見ヶ原,八重見ヶ原,八重見ヶ原,八重見ヶ原,八重見ヶ原,八丈島,八丈島,八丈島,八丈島,八丈島,八丈島,八丈島,八丈島,八丈島,八丈島,八丈島,八丈島,父島,父島,父島,父島,父島,父島,父島,父島,父島,父島,父島,父島,南鳥島,南鳥島,南鳥島,南鳥島,南鳥島,南鳥島,南鳥島,南鳥島,南鳥島,南鳥島,南鳥島,南鳥島
年月,降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃)
,,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,,平年値(mm),平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,,平年値(mm),平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,,平年値(mm),平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,,平年値(mm),平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,,平年値(mm),平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,,平年値(mm),平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃)
,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,,品質情報,均質番号,,品質情報,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,,品質情報,均質番号,,品質情報,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,,品質情報,均質番号,,品質情報
2023/1,8.5,8,1,49.5,8,1.7,8,1,1.5,8,7.5,8,1,49.8,8,3.7,8,1,3.2,8,9.5,8,1,47.8,8,4.9,8,1,4.8,8,10.0,8,1,54.1,8,3.6,8,1,3.4,8,10.0,8,1,56.9,8,4.5,8,1,4.5,8,15.5,0,8,1,59.7,0,8,5.7,8,1,5.4,8,17.0,8,1,50.1,8,6.1,8,1,6.0,8,17.5,8,1,51.0,8,6.7,8,1,6.3,8,72.5,0,8,1,137.3,0,8,8.0,8,1,7.5,8,51.0,8,1,89.6,8,8.4,8,1,8.0,8,68.0,8,1,101.4,8,9.7,8,1,8.9,8,74.5,8,1,98.5,8,9.2,8,1,8.5,8,121.0,0,8,1,150.9,0,8,10.6,8,1,9.9,8,160.5,8,1,151.0,8,10.7,8,1,9.9,8,108.5,5,1,159.9,8,11.3,5,1,10.7,8,175.0,0,5,1,201.7,0,8,10.6,8,1,10.1,8,17.5,0,8,1,63.6,0,8,18.3,8,1,18.5,8,58.5,0,8,1,69.7,0,8,22.6,8,1,22.4,8
2023/2,21.5,8,1,45.9,8,3.2,8,1,2.2,8,27.5,8,1,45.2,8,5.5,8,1,4.1,8,33.0,8,1,39.6,8,6.6,8,1,5.8,8,38.0,8,1,46.1,8,5.5,8,1,4.5,8,32.5,8,1,52.4,8,6.4,8,1,5.4,8,40.5,0,8,1,56.5,0,8,7.3,8,1,6.1,8,34.0,8,1,50.9,8,7.4,8,1,6.5,8,34.5,8,1,52.1,8,8.0,8,1,6.8,8,106.5,0,8,1,146.0,0,8,9.1,8,1,7.8,8,80.0,5,1,105.4,8,9.5,5,1,8.4,8,104.5,8,1,134.3,8,10.7,8,1,9.5,8,116.5,8,1,128.0,8,10.3,8,1,9.1,8,182.5,0,8,1,170.9,0,8,11.2,8,1,10.0,8,162.0,8,1,192.9,8,11.6,8,1,10.5,8,150.0,8,1,189.1,8,11.8,8,1,11.3,8,203.0,0,8,1,205.5,0,8,11.1,8,1,10.4,8,96.5,0,8,1,51.6,0,8,18.7,8,1,18.1,8,62.0,0,8,1,43.4,0,8,22.7,8,1,21.8,8
2023/3,118.0,8,1,88.5,8,8.8,8,1,5.5,8,85.5,8,1,90.1,8,11.4,8,1,7.6,8,110.0,8,1,109.3,8,12.4,8,1,10.0,8,106.5,8,1,102.9,8,11.7,8,1,8.0,8,115.5,8,1,113.8,8,12.1,8,1,8.8,8,145.0,0,8,1,116.0,0,8,12.9,8,1,9.4,8,108.0,8,1,103.0,8,12.8,8,1,9.4,8,102.5,8,1,111.3,8,13.2,8,1,9.8,8,281.0,0,8,1,238.4,0,8,13.4,8,1,10.4,8,194.5,8,1,160.8,8,13.7,8,1,11.0,8,188.5,8,1,187.0,8,14.6,8,1,11.8,8,205.5,8,1,198.8,8,14.3,8,1,11.4,8,431.5,0,8,1,275.6,0,8,14.9,8,1,12.3,8,379.0,8,1,232.7,8,15.6,8,1,12.8,8,159.0,5,1,249.1,8,15.4,5,1,13.1,8,179.0,0,8,1,296.5,0,8,14.7,8,1,12.5,8,40.5,0,8,1,75.8,0,8,20.2,5,1,19.3,8,82.5,0,8,1,56.0,0,8,22.5,8,1,22.5,8
2023/4,39.5,8,1,106.3,8,12.8,8,1,10.8,8,51.5,8,1,108.4,8,14.9,8,1,12.9,8,61.5,8,1,130.9,8,15.9,8,1,14.4,8,66.0,8,1,114.1,8,15.2,8,1,13.3,8,57.0,8,1,121.9,8,15.7,8,1,13.9,8,90.0,0,8,1,133.7,0,8,16.3,8,1,14.3,8,53.5,8,1,111.8,8,16.1,8,1,14.0,8,64.0,8,1,117.6,8,16.7,8,1,14.5,8,207.5,0,5,1,247.4,0,8,16.4,8,1,14.4,8,147.5,8,1,180.3,8,16.7,8,1,14.8,8,208.5,8,1,173.4,8,17.3,8,1,15.5,8,139.0,8,1,170.5,8,16.7,8,1,15.0,8,247.5,0,8,1,229.3,0,8,17.2,8,1,15.8,8,202.5,8,1,191.8,8,18.1,8,1,16.4,8,135.5,8,1,177.2,8,17.3,8,1,16.5,8,134.0,0,8,1,215.2,0,8,16.6,8,1,15.8,8,244.5,0,8,1,113.3,0,8,21.8,8,1,21.1,8,228.5,0,8,1,59.6,0,8,23.6,8,1,24.3,8
2023/5,123.0,8,1,118.7,8,15.7,8,1,15.6,8,133.5,8,1,124.4,8,18.0,8,1,17.7,8,127.5,8,1,88.3,8,18.8,8,1,20.0,8,142.0,8,1,124.7,8,18.2,8,1,18.1,8,123.5,8,1,133.1,8,18.6,8,1,18.5,8,159.0,0,8,1,139.7,0,8,19.0,8,1,18.8,8,152.5,8,1,122.5,8,18.8,8,1,18.4,8,161.5,8,1,126.7,8,19.3,8,1,19.0,8,197.0,0,8,1,256.5,0,8,18.7,8,1,18.2,8,188.5,8,1,187.2,8,19.1,8,1,18.6,8,185.0,8,1,184.0,8,19.5,8,1,19.1,8,263.5,8,1,183.4,8,18.9,8,1,18.6,8,234.5,0,8,1,243.3,0,8,19.4,8,1,19.2,8,262.5,8,1,235.0,8,20.3,8,1,20.0,8,173.5,8,1,263.6,8,19.4,8,1,19.7,8,192.0,0,8,1,256.7,0,8,18.6,8,1,18.8,8,208.5,0,8,1,151.9,0,8,23.6,8,1,23.4,8,142.0,0,8,1,100.6,0,8,25.5,8,1,26.1,8
2023/6,314.5,8,1,163.2,8,19.6,8,1,18.9,8,326.5,8,1,176.0,8,22.1,8,1,21.0,8,377.5,8,1,201.4,8,22.9,8,1,22.5,8,355.0,8,1,172.0,8,22.4,8,1,21.4,8,342.0,8,1,166.6,8,22.8,8,1,21.8,8,347.0,0,8,1,167.8,0,8,23.2,8,1,21.9,8,250.5,8,1,150.3,8,23.0,8,1,21.5,8,275.0,8,1,150.1,8,23.4,8,1,22.0,8,251.0,0,8,1,328.8,0,8,22.4,8,1,21.0,8,234.0,8,1,244.9,8,22.5,8,1,21.4,8,157.5,8,1,261.5,8,23.1,8,1,21.8,8,171.0,8,1,262.8,8,22.4,8,1,21.2,8,234.5,0,8,1,349.7,0,8,22.9,8,1,21.8,8,234.5,8,1,302.6,8,23.6,8,1,22.5,8,178.5,8,1,351.1,8,23.3,8,1,22.3,8,203.5,0,8,1,390.3,0,8,22.6,8,1,21.3,8,90.0,0,8,1,111.8,0,8,27.0,8,1,26.2,8,38.5,0,8,1,44.3,0,8,28.2,8,1,28.0,8
2023/7,50.0,8,1,205.6,8,24.9,8,1,22.6,8,35.0,8,1,197.9,8,27.7,8,1,24.8,8,11.0,8,1,165.8,8,28.7,8,1,26.3,8,37.0,8,1,188.3,8,28.1,8,1,25.4,8,18.5,8,1,164.2,8,28.4,8,1,25.7,8,30.0,0,8,1,156.2,0,8,28.7,8,1,25.7,8,35.0,8,1,129.1,8,27.6,8,1,25.1,8,39.5,8,1,137.4,8,28.4,8,1,25.8,8,51.0,0,8,1,255.9,0,8,26.3,8,1,24.6,8,54.5,8,1,199.1,8,26.5,8,1,24.9,8,33.5,8,1,205.3,8,26.9,8,1,25.3,8,51.5,8,1,189.4,8,26.0,8,1,24.6,8,77.5,0,8,1,240.2,0,8,26.6,8,1,25.3,8,69.0,8,1,236.3,8,27.5,8,1,26.2,8,181.5,8,1,258.8,8,26.8,8,1,26.0,8,191.0,0,8,1,254.1,0,8,26.0,8,1,25.2,8,36.0,0,8,1,79.5,0,8,28.2,8,1,27.7,8,72.0,0,8,1,139.8,0,8,28.7,8,1,28.5,8
2023/8,255.5,8,1,217.4,8,25.0,8,1,23.5,8,134.5,8,1,212.9,8,28.4,8,1,25.9,8,156.0,8,1,164.4,8,29.0,8,1,27.8,8,143.0,8,1,212.5,8,28.5,8,1,26.4,8,150.0,8,1,173.4,8,28.7,8,1,26.8,8,132.5,0,8,1,154.7,0,8,29.2,8,1,26.9,8,93.0,8,1,108.0,8,29.1,8,1,26.7,8,104.5,8,1,114.4,8,29.4,8,1,27.4,8,194.5,0,8,1,191.7,0,8,27.9,8,1,26.0,8,178.0,8,1,160.3,8,28.1,8,1,26.6,8,72.0,8,1,169.1,8,28.2,8,1,26.8,8,113.5,8,1,197.1,8,27.4,8,1,26.3,8,209.5,0,8,1,206.6,0,8,27.6,8,1,26.6,8,134.0,8,1,220.3,8,28.7,5,1,27.6,8,70.0,8,1,174.3,8,27.9,8,1,27.3,8,82.0,0,8,1,169.5,0,8,27.1,8,1,26.5,8,251.0,0,8,1,123.3,0,8,28.4,8,1,28.0,8,640.5,0,8,1,177.1,0,8,27.7,8,1,28.4,8
2023/9,187.5,8,1,270.2,8,22.8,8,1,19.8,8,184.0,8,1,234.2,8,25.7,8,1,22.1,8,248.5,8,1,229.6,8,26.4,8,1,23.6,8,198.0,8,1,264.4,8,25.9,8,1,22.6,8,225.0,8,1,246.7,8,26.2,8,1,23.1,8,229.0,0,8,1,224.9,0,8,26.7,8,1,23.3,8,191.0,8,1,195.7,8,26.7,8,1,23.6,8,206.5,8,1,204.9,8,27.2,8,1,24.0,8,279.5,0,8,1,341.3,0,8,26.1,8,1,23.4,8,249.0,5,1,231.3,8,26.3,5,1,23.9,8,220.5,8,1,195.1,8,26.9,8,1,24.5,8,319.0,8,1,208.1,8,26.2,8,1,24.1,8,382.0,0,8,1,330.9,0,8,26.6,8,1,24.5,8,384.5,8,1,253.8,8,27.5,8,1,25.3,8,244.5,8,1,294.6,8,26.9,8,1,25.4,8,301.5,0,8,1,360.5,0,8,26.2,8,1,24.5,8,54.5,0,8,1,144.2,0,8,28.4,8,1,27.7,8,88.5,0,8,1,94.8,0,8,28.4,8,1,28.5,8
2023/10,68.0,8,1,215.4,8,14.0,8,1,14.3,8,66.5,8,1,208.6,8,17.1,8,1,16.5,8,96.5,8,1,263.9,8,18.1,8,1,18.1,8,93.0,8,1,230.8,8,17.1,8,1,16.9,8,107.0,8,1,228.0,8,17.9,8,1,17.5,8,147.0,0,8,1,234.8,0,8,18.9,8,1,18.0,8,111.0,8,1,205.7,8,19.4,8,1,18.4,8,125.0,8,1,204.5,8,19.8,8,1,18.9,8,219.5,0,8,1,405.2,0,8,19.4,8,1,18.9,8,165.0,8,1,307.8,8,19.8,8,1,19.4,8,173.0,8,1,313.5,8,20.6,8,1,20.4,8,169.5,8,1,334.0,8,20.4,8,1,20.0,8,211.5,0,8,1,418.9,0,8,21.0,8,1,20.8,8,190.0,8,1,396.1,8,21.8,8,1,21.4,8,126.5,8,1,448.8,8,21.7,8,1,21.9,8,157.5,0,5,1,479.1,0,8,21.0,8,1,21.0,8,235.0,0,8,1,141.7,0,8,25.9,8,1,26.4,8,152.0,0,8,1,89.6,0,8,28.5,8,1,27.9,8
2023/11,69.5,8,1,68.9,8,10.1,8,1,8.8,8,58.5,8,1,71.3,8,12.3,8,1,10.7,8,50.5,8,1,66.2,8,13.2,8,1,12.4,8,52.5,8,1,80.1,8,12.5,8,1,11.1,8,62.5,8,1,83.2,8,13.1,8,1,11.8,8,41.5,0,8,1,96.3,0,8,14.4,8,1,12.5,8,40.0,8,1,90.5,8,14.9,8,1,13.3,8,44.0,8,1,90.0,8,15.6,8,1,13.8,8,102.0,0,5,1,192.8,0,8,16.1,8,1,14.5,8,102.0,8,1,164.6,8,16.5,8,1,15.2,8,103.5,8,1,182.8,8,17.4,8,1,16.3,8,96.5,8,1,174.4,8,17.0,8,1,16.1,8,185.5,0,8,1,234.2,0,8,17.7,8,1,16.8,8,170.0,8,1,250.2,8,18.4,8,1,17.3,8,152.0,5,1,263.4,8,18.6,5,1,17.9,8,210.5,0,8,1,277.4,0,8,17.9,8,1,16.9,8,100.0,0,8,1,136.1,0,8,23.7,8,1,23.8,8,21.5,0,8,1,83.0,0,8,27.0,8,1,26.5,8
2023/12,12.0,8,1,43.7,8,5.1,8,1,3.9,8,6.5,8,1,44.6,8,6.9,8,1,5.6,8,14.5,8,1,46.3,8,8.2,8,1,7.1,8,8.5,8,1,53.1,8,7.2,8,1,5.9,8,14.5,8,1,58.7,8,8.0,8,1,6.8,8,19.5,0,8,1,57.9,0,8,9.4,8,1,7.7,8,29.5,8,1,53.3,8,9.8,8,1,8.4,8,26.0,8,1,55.0,8,10.5,8,1,8.9,8,86.0,0,8,1,117.6,0,8,11.2,8,1,10.0,8,76.5,8,1,95.7,8,11.5,8,1,10.7,8,99.5,8,1,117.5,8,12.5,8,1,11.6,8,104.0,8,1,126.3,8,12.2,8,1,11.2,8,173.0,0,8,1,171.1,0,8,13.4,8,1,12.5,8,147.5,8,1,176.8,8,13.8,8,1,12.6,8,106.5,8,1,181.4,8,14.4,8,1,13.3,8,117.0,0,8,1,200.2,0,8,13.8,8,1,12.7,8,56.0,0,8,1,103.3,0,8,20.9,8,1,20.6,8,127.0,0,8,1,90.8,0,8,25.3,8,1,24.5,8