ダウンロードした時刻：2024/06/06 23:30:18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,石川,石川,石川,石川,石川,石川,石川,石川,石川,石川,石川,石川,石川,石川,石川,石川,石川,石川,石川,石川,石川,石川,石川,石川,石川,石川,石川,石川,石川,石川,石川,石川,石川,石川,石川,石川,石川,石川,石川,石川,石川,石川,石川,石川,石川,石川,石川,石川,石川,石川,石川,石川,石川,石川,石川,石川,石川,石川,石川,石川,石川,石川,石川,石川,石川,石川,石川,石川,石川,石川,石川,石川,石川,石川,石川,石川,石川,石川,石川,石川,石川,石川,石川,石川,石川,石川,石川,石川,石川,石川,石川,石川,石川,石川,石川,石川,石川,石川,石川,石川,石川,石川,石川,石川,石川,石川,石川,石川,石川,石川,石川,石川,石川,石川
,珠洲,珠洲,珠洲,珠洲,珠洲,珠洲,珠洲,珠洲,珠洲,珠洲,輪島,輪島,輪島,輪島,輪島,輪島,輪島,輪島,輪島,輪島,輪島,輪島,三井,三井,三井,三井,三井,三井,三井,三井,三井,三井,志賀,志賀,志賀,志賀,志賀,志賀,志賀,志賀,志賀,志賀,七尾,七尾,七尾,七尾,七尾,七尾,七尾,七尾,七尾,七尾,羽咋,羽咋,羽咋,羽咋,羽咋,羽咋,羽咋,羽咋,羽咋,羽咋,かほく,かほく,かほく,かほく,かほく,かほく,かほく,かほく,かほく,かほく,金沢,金沢,金沢,金沢,金沢,金沢,金沢,金沢,金沢,金沢,金沢,金沢,小松,小松,小松,小松,小松,小松,小松,小松,小松,小松,白山河内,白山河内,白山河内,白山河内,白山河内,白山河内,白山河内,白山河内,白山河内,白山河内,加賀中津原,加賀中津原,加賀中津原,加賀中津原,加賀中津原,加賀中津原,加賀中津原,加賀中津原,加賀中津原,加賀中津原
年月,降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃)
,,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,,平年値(mm),平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,,平年値(mm),平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃)
,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報
2023/1,225.5,8,1,226.0,8,3.0,8,1,2.8,8,241.0,0,8,1,219.2,0,8,3.6,8,1,3.3,8,183.5,8,1,167.2,8,1.3,8,1,1.1,8,149.5,8,1,152.6,8,3.9,8,1,3.6,8,180.0,8,1,207.4,8,2.9,8,1,2.7,8,203.5,8,1,212.7,8,3.7,8,1,3.5,8,188.5,8,1,210.9,8,3.3,8,1,3.3,8,197.0,0,8,1,256.0,0,8,4.3,8,1,4.0,8,191.5,8,1,251.3,8,4.1,8,1,3.6,8,185.5,8,1,340.5,8,1.8,8,1,1.5,8,213.0,8,1,375.3,8,3.1,8,1,1.9,8
2023/2,139.5,8,1,140.6,8,3.2,8,1,2.8,8,148.5,0,8,1,139.6,0,8,3.6,8,1,3.4,8,135.5,8,1,120.2,8,1.8,8,1,1.4,8,81.5,8,1,101.5,8,4.2,8,1,3.7,8,117.0,8,1,126.3,8,3.6,8,1,3.0,8,93.5,8,1,129.6,8,4.2,8,1,3.6,8,123.5,8,1,125.8,8,3.8,8,1,3.5,8,114.5,0,8,1,162.6,0,8,4.9,8,1,4.2,8,115.5,8,1,147.7,8,4.5,8,1,3.9,8,147.0,8,1,210.2,8,2.0,8,1,1.8,8,117.0,8,1,223.2,8,3.3,8,1,2.2,8
2023/3,78.5,8,1,129.2,8,7.8,8,1,5.5,8,131.5,0,8,1,138.6,0,8,9.0,8,1,6.1,8,92.5,8,1,132.7,8,7.4,8,1,4.4,8,83.0,8,1,105.7,8,9.1,8,1,6.3,8,119.0,8,1,139.1,8,8.8,8,1,5.9,8,110.5,8,1,129.3,8,9.4,8,1,6.5,8,124.0,8,1,129.4,8,9.2,8,1,6.4,8,131.5,0,8,1,157.2,0,8,10.5,8,1,7.3,8,138.0,8,1,144.3,8,10.0,8,1,6.9,8,172.0,8,1,195.6,8,8.9,8,1,5.1,8,158.0,8,1,221.0,8,9.6,8,1,5.5,8
2023/4,127.0,8,1,106.6,8,11.7,8,1,10.4,8,166.5,0,8,1,121.6,0,8,12.4,8,1,11.1,8,157.5,8,1,128.6,8,10.8,8,1,9.6,8,141.0,8,1,105.2,8,12.1,8,1,11.3,8,157.0,8,1,126.0,8,12.2,8,1,11.1,8,143.5,8,1,122.5,8,12.6,8,1,11.5,8,137.5,8,1,121.5,8,12.6,8,1,11.5,8,171.5,0,8,1,143.9,0,8,13.9,8,1,12.6,8,151.0,8,1,129.3,8,13.6,8,1,12.2,8,183.0,8,1,167.7,8,12.5,8,1,11.3,8,210.0,8,1,177.9,8,13.0,8,1,11.3,8
2023/5,180.0,8,1,98.4,8,15.9,8,1,15.7,8,212.5,0,8,1,115.6,0,8,16.6,8,1,16.1,8,181.5,8,1,101.7,8,15.2,8,1,15.1,8,161.0,8,1,107.6,8,16.7,8,1,16.4,8,205.0,8,1,120.0,8,16.5,8,1,16.3,8,176.0,8,1,127.4,8,17.1,8,1,16.6,8,188.0,8,1,123.5,8,16.8,8,1,16.5,8,231.0,0,8,1,138.0,0,8,18.4,8,1,17.7,8,209.5,8,1,127.3,8,18.0,8,1,17.3,8,257.0,8,1,162.2,8,16.8,8,1,16.6,8,222.5,8,1,179.3,8,17.1,8,1,16.4,8
2023/6,235.0,8,1,141.7,8,21.4,8,1,19.8,8,196.5,0,8,1,155.8,0,8,21.9,8,1,20.0,8,220.5,8,1,172.2,8,20.2,8,1,19.1,8,232.5,8,1,151.9,8,22.0,8,1,20.6,8,289.0,8,1,168.5,8,21.6,8,1,20.4,8,225.0,8,1,156.4,8,22.0,8,1,20.7,8,357.0,8,1,167.5,8,21.5,8,1,20.5,8,255.5,0,8,1,170.3,0,8,22.9,8,1,21.6,8,268.5,8,1,151.0,8,22.4,8,1,21.2,8,269.0,8,1,208.7,8,21.1,8,1,20.2,8,265.0,8,1,202.5,8,21.6,8,1,20.2,8
2023/7,169.0,8,1,193.9,8,25.8,8,1,24.1,8,152.5,0,8,1,199.6,0,8,26.2,8,1,24.4,8,237.0,8,1,241.4,8,24.7,8,1,23.2,8,209.5,8,1,203.8,8,26.3,8,1,24.7,8,230.5,8,1,222.7,8,26.4,8,1,24.5,8,170.5,8,1,225.8,8,26.6,8,1,24.8,8,328.5,8,1,221.9,8,26.4,5,1,24.7,8,202.5,0,8,1,233.4,0,8,28.0,8,1,25.8,8,201.5,8,1,218.9,8,27.3,8,1,25.4,8,258.5,8,1,290.8,8,25.9,8,1,24.1,8,276.5,8,1,296.3,8,26.5,8,1,24.3,8
2023/8,52.5,8,1,165.7,8,28.8,8,1,25.5,8,36.5,0,8,1,176.8,0,8,29.1,8,1,25.9,8,55.0,8,1,200.5,8,27.7,8,1,24.7,8,40.0,8,1,172.5,8,29.5,8,1,26.4,8,60.5,8,1,183.0,8,29.1,8,1,26.0,8,73.5,8,1,188.7,8,29.4,8,1,26.5,8,49.0,8,1,186.2,8,28.7,8,1,26.2,8,40.0,0,8,1,179.3,0,8,30.5,8,1,27.3,8,14.5,8,1,152.0,8,29.8,8,1,26.7,8,26.0,8,1,224.4,8,27.8,8,1,25.2,8,44.5,8,1,214.6,8,28.4,8,1,25.4,8
2023/9,129.0,8,1,184.9,8,24.9,8,1,21.6,8,138.5,0,8,1,214.5,0,8,25.2,8,1,22.0,8,104.0,8,1,190.1,8,23.6,8,1,20.8,8,84.5,8,1,173.9,8,25.7,8,1,22.3,8,120.5,8,1,206.5,8,25.1,8,1,22.0,8,76.5,8,1,195.3,8,25.8,8,1,22.4,8,106.0,8,1,213.7,8,25.4,5,1,22.3,8,108.0,0,8,1,231.9,0,8,26.6,8,1,23.2,8,123.5,8,1,214.6,8,26.1,8,1,22.5,8,166.5,8,1,235.6,8,24.4,8,1,21.1,8,178.5,8,1,275.8,8,24.8,8,1,21.2,8
2023/10,152.5,8,1,152.7,8,15.8,8,1,15.8,8,263.0,0,8,1,171.1,0,8,16.3,8,1,16.3,8,159.0,8,1,157.6,8,14.7,8,1,14.9,8,142.0,8,1,134.7,8,17.1,8,1,16.7,8,116.5,8,1,156.7,8,16.3,8,1,16.2,8,160.5,8,1,153.1,8,17.1,8,1,16.9,8,138.0,8,1,154.9,8,16.5,8,1,16.7,8,173.5,0,8,1,177.1,0,8,17.8,8,1,17.6,8,220.5,8,1,171.6,8,16.8,8,1,16.8,8,264.5,8,1,215.8,8,15.0,8,1,15.3,8,307.0,8,1,222.2,8,15.8,8,1,15.4,8
2023/11,305.0,8,1,200.5,8,11.7,8,1,10.3,8,339.0,0,8,1,231.5,0,8,12.4,8,1,10.8,8,306.5,8,1,193.4,8,10.4,8,1,9.3,8,192.0,8,1,170.9,8,13.1,8,1,11.2,8,284.0,8,1,205.7,8,12.0,8,1,10.5,8,264.5,8,1,205.3,8,12.8,8,1,11.3,8,281.5,8,1,209.5,8,12.2,8,1,11.0,8,344.5,0,8,1,250.8,0,8,13.2,8,1,11.9,8,261.0,8,1,219.4,8,12.6,8,1,11.2,8,354.5,8,1,277.9,8,10.7,8,1,9.7,8,384.5,8,1,286.2,8,12.1,8,1,9.8,8
2023/12,398.0,8,1,279.2,8,6.0,8,1,5.3,8,462.5,0,8,1,278.4,0,8,6.5,8,1,5.9,8,363.0,5,1,264.8,8,4.8,5,1,3.8,8,283.5,8,1,197.7,8,7.6,8,1,6.4,8,372.0,8,1,255.1,8,6.6,8,1,5.4,8,303.0,8,1,264.6,8,7.4,8,1,6.3,8,283.0,8,1,252.7,8,6.9,8,1,6.0,8,363.5,0,8,1,301.1,0,8,7.7,8,1,6.8,8,350.5,8,1,282.5,8,7.1,8,1,6.2,8,398.0,8,1,372.1,8,5.2,8,1,4.3,8,375.5,8,1,411.3,8,6.4,8,1,4.6,8