ダウンロードした時刻：2024/06/06 23:33:43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,福井,福井,福井,福井,福井,福井,福井,福井,福井,福井,福井,福井,福井,福井,福井,福井,福井,福井,福井,福井,福井,福井,福井,福井,福井,福井,福井,福井,福井,福井,福井,福井,福井,福井,福井,福井,福井,福井,福井,福井,福井,福井,福井,福井,福井,福井,福井,福井,福井,福井,福井,福井,福井,福井,福井,福井,福井,福井,福井,福井,福井,福井,福井,福井,福井,福井,福井,福井,福井,福井,福井,福井,福井,福井,福井,福井,福井,福井,福井,福井,福井,福井,福井,福井,福井,福井,福井,福井,福井,福井,福井,福井,福井,福井,福井,福井,福井,福井,福井,福井,福井,福井,福井,福井
,三国,三国,三国,三国,三国,三国,三国,三国,三国,三国,春江,春江,春江,春江,春江,春江,春江,春江,春江,春江,越廼,越廼,越廼,越廼,越廼,越廼,越廼,越廼,越廼,越廼,福井,福井,福井,福井,福井,福井,福井,福井,福井,福井,福井,福井,勝山,勝山,勝山,勝山,勝山,勝山,勝山,勝山,勝山,勝山,大野,大野,大野,大野,大野,大野,大野,大野,大野,大野,今庄,今庄,今庄,今庄,今庄,今庄,今庄,今庄,今庄,今庄,敦賀,敦賀,敦賀,敦賀,敦賀,敦賀,敦賀,敦賀,敦賀,敦賀,敦賀,敦賀,美浜,美浜,美浜,美浜,美浜,美浜,美浜,美浜,美浜,美浜,小浜,小浜,小浜,小浜,小浜,小浜,小浜,小浜,小浜,小浜
年月,降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃)
,,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,,平年値(mm),平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,,平年値(mm),平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃)
,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報
2023/1,208.5,8,1,206.9,8,3.8,8,1,3.5,8,219.5,8,1,180.7,8,3.6,8,1,3.1,8,267.5,8,1,218.4,8,5.4,8,1,5.5,8,257.0,0,8,1,284.9,0,8,3.7,8,1,3.2,8,168.0,8,1,224.5,8,0.9,8,1,1.1,8,186.5,8,1,249.7,8,1.0,8,1,1.1,8,252.5,8,1,317.9,8,1.8,8,1,1.7,8,277.5,0,8,1,269.5,0,8,4.7,8,1,4.7,8,314.0,8,1,257.1,8,4.2,8,1,4.3,8,278.0,8,1,217.6,8,3.5,8,1,3.8,8
2023/2,101.0,8,1,123.6,8,4.4,8,1,3.7,8,94.0,8,1,112.4,8,3.6,8,1,3.8,8,94.5,8,1,139.8,8,6.1,8,1,5.5,8,104.0,0,8,1,167.7,0,8,3.9,8,1,3.7,8,101.0,8,1,138.4,8,1.5,8,1,1.6,8,106.0,8,1,163.2,8,1.6,8,1,1.5,8,142.0,8,1,187.1,8,2.1,8,1,1.9,8,109.5,0,8,1,164.7,0,8,5.8,8,1,5.1,8,77.5,8,1,161.9,8,5.4,8,1,4.6,8,73.5,8,1,156.6,8,4.9,8,1,4.1,8
2023/3,104.0,8,1,138.3,8,10.2,8,1,6.7,8,108.0,8,1,129.5,8,10.3,8,1,7.1,8,129.5,8,1,156.6,8,11.2,8,1,8.2,8,117.5,0,8,1,160.7,0,8,10.7,8,1,7.2,8,124.5,8,1,154.2,8,9.1,8,1,5.3,8,110.0,8,1,161.1,8,9.2,8,1,5.5,8,134.0,8,1,177.5,8,8.9,8,1,5.4,8,114.5,0,8,1,144.6,0,8,11.4,8,1,8.3,8,109.0,8,1,148.1,8,10.4,8,1,7.6,8,95.5,8,1,135.4,8,10.5,8,1,7.4,8
2023/4,152.5,8,1,125.0,8,13.4,8,1,11.8,8,148.0,8,1,125.5,8,13.7,8,1,12.4,8,202.5,8,1,143.0,8,14.1,8,1,13.1,8,163.5,0,8,1,137.2,0,8,14.1,8,1,12.8,8,171.5,8,1,150.0,8,12.9,8,1,11.5,8,142.0,8,1,142.6,8,13.1,8,1,11.8,8,177.5,8,1,145.8,8,12.6,8,1,11.3,8,160.5,0,8,1,120.4,0,8,14.6,8,1,13.4,8,151.0,8,1,122.6,8,14.0,8,1,12.6,8,121.5,8,1,108.4,8,13.9,8,1,12.6,8
2023/5,215.5,8,1,139.8,8,17.7,8,1,16.7,8,217.5,8,1,136.3,8,18.3,8,1,18.0,8,195.5,8,1,157.6,8,18.0,8,1,17.8,8,223.5,0,8,1,139.1,0,8,18.7,8,1,18.1,8,290.0,8,1,159.7,8,17.4,8,1,17.1,8,264.5,8,1,144.8,8,17.6,8,1,17.4,8,243.0,8,1,151.8,8,17.0,8,1,16.4,8,231.0,0,8,1,141.4,0,8,18.9,8,1,18.2,8,204.0,8,1,141.0,8,18.3,8,1,17.5,8,185.5,8,1,137.9,8,18.2,8,1,17.7,8
2023/6,314.0,8,1,155.4,8,21.9,8,1,20.5,8,260.0,8,1,139.8,8,22.5,8,1,22.0,8,351.0,8,1,157.8,8,22.1,8,1,21.3,8,285.0,0,8,1,152.8,0,8,22.7,8,1,22.0,8,318.0,8,1,180.0,8,21.4,8,1,20.9,8,294.5,8,1,168.3,8,21.6,8,1,21.3,8,364.0,8,1,173.8,8,20.9,8,1,20.4,8,342.0,0,8,1,144.1,0,8,22.7,8,1,22.1,8,226.0,8,1,143.1,8,22.3,8,1,21.4,8,168.5,8,1,137.8,8,22.4,8,1,21.6,8
2023/7,289.5,8,1,228.4,8,26.8,8,1,24.7,8,235.5,8,1,241.4,8,27.4,8,1,25.8,8,254.0,8,1,225.7,8,27.3,8,1,25.7,8,222.5,0,8,1,239.8,0,8,27.9,8,1,26.1,8,267.0,8,1,291.4,8,26.1,8,1,24.7,8,219.0,8,1,274.4,8,26.6,8,1,25.1,8,225.0,8,1,254.9,8,25.8,8,1,24.4,8,227.0,0,8,1,204.0,0,8,28.0,8,1,26.3,8,195.0,8,1,192.7,8,27.5,8,1,25.6,8,112.0,8,1,180.7,8,27.6,8,1,25.7,8
2023/8,30.0,8,1,147.1,8,29.7,8,1,26.2,8,40.0,8,1,148.8,8,29.9,8,1,27.2,8,81.5,8,1,146.7,8,29.3,8,1,27.2,8,45.0,0,8,1,150.7,0,8,30.4,8,1,27.4,8,66.0,8,1,195.6,8,28.4,8,1,26.0,8,119.5,8,1,183.9,8,28.4,8,1,26.2,8,99.5,8,1,182.0,8,28.0,8,1,25.4,8,113.5,0,8,1,146.9,0,8,30.0,8,1,27.7,8,80.0,8,1,175.1,8,29.7,8,1,27.0,8,109.0,8,1,157.1,8,29.5,8,1,27.0,8
2023/9,156.0,8,1,218.2,8,25.7,8,1,22.3,8,177.0,8,1,225.3,8,25.8,8,1,23.1,8,127.0,8,1,230.2,8,25.8,8,1,23.4,8,202.0,0,8,1,212.9,0,8,26.2,8,1,23.1,8,110.5,8,1,195.0,8,24.7,8,1,21.8,8,103.0,8,1,195.5,8,25.0,8,1,22.1,8,159.5,8,1,224.5,8,24.3,8,1,21.2,8,197.0,0,8,1,204.9,0,8,26.7,8,1,23.7,8,203.5,8,1,226.3,8,26.0,8,1,23.1,8,121.5,8,1,234.4,8,25.8,8,1,22.9,8
2023/10,171.0,8,1,159.8,8,17.0,8,1,16.8,8,219.0,8,1,157.0,8,16.5,8,1,17.1,8,205.0,8,1,166.1,8,18.1,8,1,18.3,8,216.0,0,8,1,153.8,0,8,16.7,8,1,17.1,8,157.5,8,1,148.4,8,14.6,8,1,15.7,8,146.0,8,1,151.9,8,14.7,8,1,15.9,8,186.0,8,1,182.7,8,14.8,8,1,15.3,8,164.0,0,8,1,152.6,0,8,17.9,8,1,18.1,8,156.5,8,1,162.7,8,17.5,8,1,17.6,8,157.5,8,1,179.9,8,17.0,8,1,17.2,8
2023/11,248.5,8,1,182.8,8,12.8,8,1,11.2,8,223.5,8,1,167.2,8,12.7,8,1,11.5,8,257.5,8,1,173.6,8,14.3,8,1,13.3,8,294.5,0,8,1,196.1,0,8,12.8,8,1,11.3,8,231.5,8,1,180.0,8,10.8,8,1,9.7,8,233.0,8,1,181.1,8,10.7,8,1,9.7,8,352.5,8,1,229.9,8,10.9,8,1,9.6,8,161.5,0,8,1,176.0,0,8,14.0,8,1,12.7,8,219.0,8,1,170.7,8,13.4,8,1,12.2,8,122.0,5,1,160.0,8,12.8,5,1,11.6,8
2023/12,349.5,8,1,253.9,8,7.0,8,1,6.1,8,381.5,8,1,278.5,8,6.6,8,1,5.9,8,306.5,8,1,253.8,8,9.2,8,1,8.2,8,367.5,0,8,1,304.0,0,8,6.7,8,1,5.9,8,307.5,8,1,260.2,8,4.3,8,1,3.8,8,298.5,8,1,274.1,8,4.1,8,1,3.9,8,415.0,8,1,380.4,8,5.3,8,1,4.3,8,319.5,0,8,1,316.7,0,8,8.4,8,1,7.4,8,229.5,8,1,297.3,8,8.1,8,1,7.0,8,85.0,8,1,222.6,8,7.8,8,1,6.5,8