ダウンロードした時刻：2024/06/06 23:39:06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪
,能勢,能勢,能勢,能勢,能勢,能勢,能勢,能勢,能勢,能勢,枚方,枚方,枚方,枚方,枚方,枚方,枚方,枚方,枚方,枚方,豊中,豊中,豊中,豊中,豊中,豊中,豊中,豊中,豊中,豊中,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,生駒山,生駒山,生駒山,生駒山,生駒山,生駒山,生駒山,生駒山,生駒山,生駒山,八尾,八尾,八尾,八尾,八尾,八尾,八尾,八尾,八尾,八尾,関空島,関空島,関空島,関空島,関空島,関空島,関空島,関空島,関空島,関空島,熊取,熊取,熊取,熊取,熊取,熊取,熊取,熊取,熊取,熊取,堺,堺,堺,堺,堺,堺,堺,堺,堺,堺
年月,降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃)
,,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,,平年値(mm),平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃)
,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報
2023/1,42.0,8,1,49.9,8,2.3,8,1,2.4,8,29.5,8,1,49.8,8,5.2,8,1,4.9,8,43.5,8,1,44.4,8,5.2,8,1,5.1,8,46.0,0,8,1,47.0,0,8,6.5,8,1,6.2,8,41.5,8,1,52.2,8,1.3,8,1,0.9,8,37.0,5,1,47.1,8,6.0,5,1,5.5,8,40.0,5,1,39.9,8,7.3,8,1,6.6,8,46.5,8,1,50.6,8,5.8,8,1,5.3,8,45.5,8,1,48.3,8,5.9,8,1,5.6,8
2023/2,33.5,8,1,61.5,8,3.7,8,1,3.1,8,38.5,8,1,61.6,8,6.1,8,1,5.5,8,31.0,5,1,59.3,8,6.2,8,1,5.7,8,33.5,0,8,1,60.5,0,8,7.0,8,1,6.6,8,40.5,8,1,64.8,8,2.1,8,1,1.5,8,28.5,8,1,63.9,8,6.5,8,1,6.3,8,22.0,8,1,58.1,8,7.2,8,1,6.9,8,27.5,8,1,62.6,8,6.2,5,1,5.6,8,27.5,8,1,57.8,8,6.3,8,1,6.0,8
2023/3,89.5,8,1,100.6,8,9.5,8,1,6.5,8,67.0,8,1,106.2,8,12.2,8,1,8.9,8,80.0,5,1,97.1,8,12.1,5,1,9.1,8,76.0,0,8,1,103.1,0,8,13.0,8,1,9.9,8,68.0,8,1,111.8,8,8.6,8,1,5.0,8,76.0,8,1,99.9,8,12.6,8,1,9.6,8,83.5,8,1,90.2,8,11.7,8,1,9.5,8,83.0,8,1,107.5,8,11.7,8,1,8.9,8,73.0,8,1,97.8,8,12.1,8,1,9.3,8
2023/4,151.5,8,1,111.0,8,13.0,8,1,12.0,8,180.0,8,1,102.4,8,15.2,8,1,14.4,8,199.0,8,1,98.2,8,15.4,8,1,14.5,8,196.5,0,8,1,101.9,0,8,15.9,8,1,15.2,8,195.5,8,1,114.2,8,11.3,5,1,10.5,8,149.5,8,1,88.2,8,15.8,8,1,14.9,8,157.0,8,1,82.7,8,15.2,8,1,14.3,8,167.0,8,1,102.1,8,15.1,8,1,14.1,8,155.5,8,1,92.2,8,15.4,8,1,14.6,8
2023/5,264.5,8,1,145.7,8,17.1,8,1,17.1,8,260.5,8,1,139.1,8,19.5,8,1,19.4,8,247.5,8,1,137.4,8,19.5,8,1,19.5,8,232.0,0,8,1,136.5,0,8,20.0,8,1,20.1,8,277.5,8,1,161.3,8,15.3,8,1,15.2,8,206.5,8,1,117.8,8,19.8,8,1,20.0,8,177.5,8,1,122.1,8,18.9,8,1,19.1,8,182.5,8,1,138.0,8,18.9,8,1,18.8,8,192.0,8,1,126.7,8,19.3,8,1,19.4,8
2023/6,214.0,8,1,181.2,8,21.2,8,1,21.0,8,234.0,8,1,194.2,8,23.3,8,1,23.1,8,227.0,8,1,180.1,8,23.4,8,1,23.3,8,262.0,0,8,1,185.1,0,8,23.8,8,1,23.6,8,263.0,8,1,213.6,8,19.1,8,1,18.7,8,265.5,8,1,149.0,8,23.8,8,1,23.9,8,276.0,8,1,148.4,8,22.3,8,1,22.8,8,260.5,8,1,167.7,8,22.6,8,1,22.4,8,264.0,8,1,164.1,8,23.1,8,1,23.1,8
2023/7,74.0,8,1,213.0,8,26.1,8,1,24.8,8,89.5,8,1,183.8,8,28.5,8,1,27.1,8,120.5,8,1,182.6,8,28.5,8,1,27.4,8,100.5,0,8,1,174.4,0,8,28.9,8,1,27.7,8,126.0,8,1,199.2,8,24.0,8,1,22.5,8,86.0,8,1,169.8,8,29.0,8,1,27.7,8,68.0,8,1,168.1,8,27.2,8,1,26.6,8,62.0,8,1,162.1,8,27.8,8,1,26.5,8,76.5,8,1,154.2,8,28.4,8,1,27.2,8
2023/8,221.0,8,1,154.5,8,27.6,8,1,25.9,8,141.5,8,1,142.5,8,29.8,8,1,28.3,8,141.0,8,1,122.8,8,30.1,8,1,28.7,8,163.5,0,8,1,113.0,0,8,29.9,8,1,29.0,8,179.0,8,1,146.4,8,24.8,8,1,23.6,8,130.5,8,1,103.1,8,29.9,8,1,29.1,8,123.5,8,1,92.8,8,28.4,8,1,28.3,8,141.0,8,1,97.7,8,28.3,8,1,27.6,8,171.5,8,1,87.3,8,29.5,8,1,28.6,8
2023/9,62.0,8,1,192.4,8,24.8,8,1,22.0,8,58.0,8,1,158.6,8,27.4,8,1,24.3,8,56.0,5,1,159.2,8,27.7,8,1,24.7,8,44.0,0,8,1,152.8,0,8,27.9,8,1,25.2,8,153.0,8,1,166.5,8,22.4,8,1,19.9,8,78.5,5,1,137.4,8,27.5,5,1,25.2,8,37.0,8,1,130.7,8,27.2,8,1,25.2,8,52.5,8,1,157.8,8,26.2,8,1,23.7,8,71.5,8,1,139.0,8,27.2,8,1,24.6,8
2023/10,48.5,8,1,142.8,8,15.2,8,1,16.0,8,67.0,8,1,136.7,8,17.9,8,1,18.4,8,62.0,8,1,127.1,8,18.3,8,1,18.7,8,77.5,0,8,1,136.0,0,8,19.3,8,1,19.5,8,100.0,8,1,155.4,8,14.0,8,1,14.4,8,70.5,8,1,142.1,8,18.5,8,1,19.2,8,61.0,8,1,153.3,8,19.9,8,1,19.9,8,71.0,8,1,151.0,8,18.1,8,1,18.1,8,61.5,8,1,139.3,8,18.5,8,1,18.6,8
2023/11,84.0,8,1,72.8,8,10.4,8,1,9.9,8,72.0,8,1,70.5,8,13.2,8,1,12.5,8,83.0,8,1,68.5,8,13.4,8,1,12.7,8,92.5,0,8,1,72.5,0,8,14.4,8,1,13.8,8,119.0,8,1,81.6,8,9.8,8,1,9.0,8,108.0,8,1,71.9,8,13.6,8,1,13.5,8,119.0,8,1,74.0,8,15.1,8,1,14.8,8,94.5,8,1,84.3,8,13.3,8,1,12.7,8,109.5,8,1,74.6,8,13.6,8,1,12.9,8
2023/12,27.0,8,1,57.8,8,5.4,8,1,4.6,8,21.5,8,1,53.0,8,8.2,8,1,7.2,8,21.0,8,1,49.6,8,8.4,8,1,7.4,8,19.5,0,8,1,55.5,0,8,9.3,8,1,8.7,8,36.5,8,1,60.6,8,4.8,8,1,3.6,8,22.0,8,1,57.1,8,8.7,8,1,8.0,8,22.5,8,1,60.1,8,10.3,8,1,9.4,8,26.5,8,1,59.9,8,8.6,8,1,7.8,8,23.0,8,1,51.9,8,8.7,8,1,7.9,8