ダウンロードした時刻：2024/06/06 23:40:53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,兵庫,兵庫,兵庫,兵庫,兵庫,兵庫,兵庫,兵庫,兵庫,兵庫,兵庫,兵庫,兵庫,兵庫,兵庫,兵庫,兵庫,兵庫,兵庫,兵庫,兵庫,兵庫,兵庫,兵庫,兵庫,兵庫,兵庫,兵庫,兵庫,兵庫,兵庫,兵庫,兵庫,兵庫,兵庫,兵庫,兵庫,兵庫,兵庫,兵庫,兵庫,兵庫,兵庫,兵庫,兵庫,兵庫,兵庫,兵庫,兵庫,兵庫,兵庫,兵庫,兵庫,兵庫,兵庫,兵庫,兵庫,兵庫,兵庫,兵庫,兵庫,兵庫,兵庫,兵庫,兵庫,兵庫,兵庫,兵庫,兵庫,兵庫,兵庫,兵庫,兵庫,兵庫,兵庫,兵庫,兵庫,兵庫,兵庫,兵庫,兵庫,兵庫,兵庫,兵庫,兵庫,兵庫,兵庫,兵庫,兵庫,兵庫,兵庫,兵庫,兵庫,兵庫,兵庫,兵庫,兵庫,兵庫,兵庫,兵庫,兵庫,兵庫,兵庫,兵庫,兵庫,兵庫,兵庫,兵庫,兵庫,兵庫,兵庫,兵庫,兵庫,兵庫,兵庫,兵庫,兵庫,兵庫,兵庫,兵庫,兵庫,兵庫,兵庫,兵庫,兵庫,兵庫,兵庫,兵庫,兵庫,兵庫,兵庫,兵庫,兵庫,兵庫,兵庫,兵庫,兵庫,兵庫,兵庫,兵庫,兵庫,兵庫,兵庫,兵庫,兵庫,兵庫,兵庫,兵庫,兵庫,兵庫,兵庫,兵庫,兵庫,兵庫,兵庫,兵庫,兵庫,兵庫,兵庫,兵庫,兵庫,兵庫,兵庫,兵庫,兵庫,兵庫,兵庫,兵庫,兵庫,兵庫,兵庫,兵庫,兵庫,兵庫,兵庫,兵庫,兵庫,兵庫,兵庫,兵庫,兵庫,兵庫,兵庫,兵庫,兵庫,兵庫,兵庫,兵庫,兵庫,兵庫,兵庫,兵庫,兵庫,兵庫,兵庫,兵庫,兵庫,兵庫,兵庫,兵庫,兵庫,兵庫,兵庫,兵庫,兵庫,兵庫,兵庫,兵庫
,香住,香住,香住,香住,香住,香住,香住,香住,香住,香住,豊岡,豊岡,豊岡,豊岡,豊岡,豊岡,豊岡,豊岡,豊岡,豊岡,豊岡,豊岡,兎和野高原,兎和野高原,兎和野高原,兎和野高原,兎和野高原,兎和野高原,兎和野高原,兎和野高原,兎和野高原,兎和野高原,和田山,和田山,和田山,和田山,和田山,和田山,和田山,和田山,和田山,和田山,生野,生野,生野,生野,生野,生野,生野,生野,生野,生野,柏原,柏原,柏原,柏原,柏原,柏原,柏原,柏原,柏原,柏原,一宮,一宮,一宮,一宮,一宮,一宮,一宮,一宮,一宮,一宮,福崎,福崎,福崎,福崎,福崎,福崎,福崎,福崎,福崎,福崎,西脇,西脇,西脇,西脇,西脇,西脇,西脇,西脇,西脇,西脇,上郡,上郡,上郡,上郡,上郡,上郡,上郡,上郡,上郡,上郡,姫路,姫路,姫路,姫路,姫路,姫路,姫路,姫路,姫路,姫路,姫路,姫路,三田,三田,三田,三田,三田,三田,三田,三田,三田,三田,三木,三木,三木,三木,三木,三木,三木,三木,三木,三木,家島,家島,家島,家島,家島,家島,家島,家島,家島,家島,明石,明石,明石,明石,明石,明石,明石,明石,明石,明石,神戸空港,神戸空港,神戸空港,神戸空港,神戸空港,神戸空港,神戸空港,神戸空港,神戸空港,神戸空港,神戸,神戸,神戸,神戸,神戸,神戸,神戸,神戸,神戸,神戸,神戸,神戸,郡家,郡家,郡家,郡家,郡家,郡家,郡家,郡家,郡家,郡家,洲本,洲本,洲本,洲本,洲本,洲本,洲本,洲本,洲本,洲本,洲本,洲本,南淡,南淡,南淡,南淡,南淡,南淡,南淡,南淡,南淡,南淡
年月,降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃)
,,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,,平年値(mm),平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,,平年値(mm),平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,,平年値(mm),平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,,平年値(mm),平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃)
,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報
2023/1,281.5,8,1,260.4,8,4.8,8,1,4.5,8,301.5,0,8,1,248.0,0,8,3.8,8,1,3.3,8,235.5,8,1,205.6,8,0.9,8,1,0.7,8,138.5,8,1,122.5,8,2.9,8,1,2.6,8,102.0,5,1,97.0,8,2.1,5,1,1.9,8,57.5,8,1,63.6,8,3.3,8,1,3.2,8,83.5,8,1,72.9,8,2.5,8,1,2.4,8,38.5,8,1,42.2,8,3.5,8,1,3.6,8,41.5,8,1,47.1,8,3.2,8,1,3.1,8,28.0,8,1,37.5,8,3.1,8,1,3.2,8,34.0,0,8,1,36.9,0,8,4.5,8,1,4.4,8,40.0,8,1,41.7,8,2.5,8,1,2.5,8,43.0,8,1,37.2,8,3.9,8,1,3.8,8,20.0,8,1,33.9,8,5.4,8,1,5.2,8,29.5,8,1,35.1,8,5.5,8,1,5.2,8,47.5,8,1,33.3,8,6.3,8,1,5.9,8,54.5,0,8,1,38.4,0,8,6.6,8,1,6.2,8,33.5,8,1,35.1,8,6.3,8,1,5.8,8,38.0,0,8,1,48.2,0,8,5.9,8,1,5.5,8,27.0,8,1,36.8,8,6.1,8,1,5.8,8
2023/2,74.5,8,1,163.7,8,5.3,8,1,4.7,8,106.0,0,8,1,188.0,0,8,4.5,8,1,3.7,8,144.0,8,1,163.0,8,1.8,8,1,1.3,8,95.5,8,1,109.7,8,3.5,8,1,3.1,8,77.0,8,1,107.4,8,2.7,8,1,2.5,8,54.5,8,1,74.0,8,4.4,8,1,3.8,8,55.0,8,1,80.2,8,3.4,8,1,3.1,8,41.0,8,1,56.5,8,4.9,8,1,4.4,8,39.0,8,1,62.1,8,4.5,8,1,3.9,8,33.5,8,1,48.0,8,4.7,4,1,4.0,8,35.5,0,8,1,48.6,0,8,5.5,8,1,5.0,8,29.5,8,1,52.6,8,3.8,8,1,3.3,8,26.5,8,1,52.8,8,4.7,8,1,4.4,8,32.5,8,1,43.5,8,5.5,8,1,5.3,8,28.0,8,1,50.7,8,5.9,8,1,5.6,8,20.5,8,1,54.3,8,6.8,8,1,6.3,8,27.5,0,8,1,55.6,0,8,7.2,8,1,6.5,8,27.0,8,1,47.1,8,6.0,8,1,5.9,8,34.0,0,8,1,67.1,0,8,5.9,8,1,5.8,8,31.5,8,1,58.1,8,6.0,8,1,6.3,8
2023/3,84.0,8,1,154.2,8,10.3,8,1,7.5,8,94.5,0,8,1,150.6,0,8,10.1,8,1,7.2,8,98.5,8,1,172.9,8,8.2,8,1,4.4,8,102.0,8,1,120.8,8,9.6,8,1,6.6,8,131.5,8,1,161.3,8,9.0,8,1,6.0,8,108.5,8,1,116.2,8,10.0,8,1,7.2,8,113.5,8,1,132.9,8,9.6,8,1,6.6,8,95.5,8,1,107.1,8,11.0,5,1,7.8,8,100.5,8,1,112.2,8,10.3,8,1,7.3,8,69.5,8,1,91.6,8,10.2,8,1,7.4,8,84.0,0,8,1,92.0,0,8,11.4,8,1,8.3,8,96.0,8,1,92.8,8,9.6,8,1,6.8,8,76.0,8,1,93.9,8,10.7,8,1,7.8,8,68.5,8,1,81.1,8,10.8,8,1,8.2,8,70.5,8,1,83.6,8,10.9,8,1,8.5,8,64.0,8,1,83.2,8,12.0,8,1,9.2,8,85.5,0,8,1,94.2,0,8,13.0,8,1,9.8,8,66.5,8,1,79.2,8,11.0,8,1,8.7,8,92.0,0,8,1,109.0,0,8,11.8,8,1,9.2,8,75.5,8,1,87.5,8,11.3,8,1,9.1,8
2023/4,150.5,8,1,104.5,8,13.5,8,1,12.5,8,184.5,0,8,1,99.6,0,8,13.8,8,1,12.7,8,182.5,8,1,133.1,8,11.1,8,1,9.9,8,147.5,8,1,101.0,8,13.4,8,1,12.2,8,326.5,8,1,172.0,8,12.2,8,1,11.6,8,198.0,8,1,127.6,8,13.7,8,1,12.8,8,259.5,8,1,136.6,8,12.9,8,1,12.1,8,203.5,8,1,128.2,8,14.0,8,1,13.3,8,198.0,8,1,123.4,8,13.8,8,1,12.7,8,196.5,8,1,102.4,8,13.6,8,1,12.8,8,172.0,0,8,1,104.7,0,8,14.5,8,1,13.6,8,147.0,8,1,94.7,8,13.4,8,1,12.3,8,158.0,8,1,98.6,8,13.9,8,1,13.2,8,100.0,8,1,81.1,8,13.9,8,1,13.2,8,126.0,8,1,89.5,8,14.4,8,1,13.3,8,138.5,8,1,83.7,8,15.2,8,1,13.7,8,161.5,0,8,1,100.6,0,8,15.9,8,1,15.0,8,131.5,8,1,85.8,8,14.8,8,1,13.7,8,220.0,0,8,1,117.5,0,8,15.0,8,1,14.2,8,132.0,8,1,89.6,8,14.5,8,1,13.8,8
2023/5,207.5,8,1,112.0,8,17.2,8,1,17.2,8,211.5,0,8,1,122.1,0,8,18.0,8,1,17.8,8,191.0,8,1,138.2,8,15.4,8,1,15.5,8,219.5,8,1,121.9,8,17.7,8,1,17.6,8,254.5,8,1,205.5,8,16.4,8,1,16.8,8,250.0,8,1,152.8,8,18.0,8,1,18.0,8,318.5,5,1,181.3,8,17.1,5,1,17.1,8,268.5,8,1,154.4,8,18.5,8,1,18.4,8,284.0,8,1,151.2,8,18.0,8,1,17.8,8,226.0,8,1,135.8,8,18.1,8,1,17.9,8,232.0,0,8,1,127.3,0,8,18.5,8,1,18.5,8,249.5,8,1,125.5,8,17.3,8,1,17.5,8,230.0,5,1,123.1,8,18.0,5,1,18.2,8,207.0,8,1,113.9,8,17.7,8,1,17.9,8,190.5,8,1,115.4,8,18.3,8,1,18.2,8,163.0,8,1,117.6,8,19.0,8,1,18.5,8,249.0,0,8,1,134.7,0,8,19.8,8,1,19.8,8,167.5,8,1,114.5,8,18.9,8,1,18.6,8,185.0,0,8,1,145.0,0,8,18.8,8,1,19.0,8,129.0,8,1,114.9,8,18.1,8,1,18.6,8
2023/6,199.0,8,1,145.3,8,21.9,8,1,20.9,8,194.5,0,8,1,150.0,0,8,22.5,8,1,21.8,8,198.0,8,1,177.3,8,19.4,8,1,18.9,8,224.5,8,1,151.6,8,21.9,8,1,21.5,8,278.5,8,1,228.7,8,20.7,8,1,20.7,8,256.5,5,1,185.6,8,22.0,5,1,21.8,8,300.5,8,1,215.4,8,21.0,8,1,21.0,8,196.5,5,1,182.9,8,22.2,5,1,22.4,8,205.5,5,1,177.2,8,21.8,5,1,21.8,8,158.5,8,1,172.4,8,22.1,8,1,22.0,8,207.5,0,8,1,160.4,0,8,22.5,8,1,22.4,8,215.5,5,1,165.1,8,21.5,5,1,21.6,8,185.5,8,1,158.9,8,22.0,8,1,21.9,8,158.5,5,1,147.4,8,21.7,5,1,21.5,8,191.5,5,1,150.5,8,21.9,5,1,22.0,8,228.0,8,1,164.5,8,22.6,8,1,22.2,8,223.5,0,8,1,176.7,0,8,23.4,8,1,23.4,8,210.0,8,1,154.5,8,22.6,8,1,22.5,8,239.0,0,8,1,198.2,0,8,22.5,8,1,22.4,8,240.5,5,1,170.9,8,22.2,5,1,22.3,8
2023/7,176.5,8,1,183.8,8,26.5,8,1,25.1,8,189.5,0,8,1,187.7,0,8,27.5,8,1,26.0,8,169.0,8,1,227.7,8,24.3,8,1,22.9,8,184.5,8,1,187.7,8,26.8,8,1,25.4,8,304.5,8,1,285.7,8,25.6,8,1,24.7,8,162.5,8,1,220.2,8,26.9,8,1,25.8,8,289.0,8,1,283.0,8,25.8,8,1,24.9,8,146.5,8,1,207.3,8,27.3,8,1,26.3,8,98.0,8,1,212.2,8,26.9,8,1,25.7,8,146.5,8,1,201.4,8,27.1,8,1,25.9,8,115.0,0,8,1,184.3,0,8,27.4,8,1,26.4,8,98.0,8,1,171.1,8,26.5,8,1,25.5,8,121.0,8,1,167.7,8,26.7,8,1,25.8,8,118.5,8,1,143.1,8,26.3,8,1,25.4,8,109.0,8,1,152.3,8,26.7,8,1,25.9,8,109.0,8,1,186.9,8,26.8,8,1,25.9,8,93.5,0,8,1,187.9,0,8,28.0,8,1,27.1,8,84.5,8,1,144.9,8,27.7,8,1,26.5,8,64.5,0,8,1,182.2,0,8,27.4,8,1,26.6,8,82.5,8,1,197.3,8,26.8,8,1,26.1,8
2023/8,204.0,8,1,153.1,8,28.5,8,1,26.2,8,190.0,0,8,1,144.5,0,8,29.9,8,1,27.1,8,301.0,8,1,187.2,8,25.5,8,1,23.9,8,222.5,8,1,145.7,8,28.4,8,1,26.2,8,396.5,8,1,196.3,8,27.0,8,1,25.7,8,256.0,8,1,169.2,8,28.4,8,1,26.9,8,219.5,8,1,190.4,8,27.1,8,1,25.8,8,201.5,8,1,132.5,8,28.8,8,1,27.4,8,341.5,8,1,149.6,8,28.5,8,1,26.8,8,193.0,8,1,120.1,8,28.5,8,1,26.8,8,236.5,0,8,1,105.4,0,8,28.9,8,1,27.8,8,123.0,8,1,128.4,8,28.0,8,1,26.4,8,165.5,8,1,97.8,8,28.2,8,1,27.1,8,211.5,8,1,85.9,8,27.9,8,1,27.0,8,145.5,8,1,86.2,8,28.7,8,1,27.7,8,193.0,8,1,84.7,8,28.9,8,1,27.9,8,200.0,0,8,1,103.4,0,8,29.7,8,1,28.6,8,206.0,8,1,94.4,8,28.8,8,1,27.8,8,264.5,0,8,1,117.0,0,8,28.4,8,1,27.7,8,326.5,8,1,143.3,8,27.9,8,1,27.4,8
2023/9,160.5,8,1,251.4,8,24.8,8,1,22.4,8,172.0,0,8,1,243.8,0,8,25.5,8,1,22.6,8,205.5,8,1,279.1,8,22.0,8,1,19.5,8,90.5,8,1,224.5,8,24.9,8,1,21.9,8,77.0,8,1,263.8,8,24.0,8,1,21.4,8,129.5,8,1,217.6,8,25.5,8,1,22.7,8,55.0,8,1,230.1,8,24.7,8,1,21.9,8,96.0,8,1,188.8,8,26.3,8,1,23.5,8,133.5,8,1,190.2,8,25.6,8,1,22.8,8,61.5,8,1,177.9,8,25.8,8,1,22.7,8,84.5,0,8,1,177.8,0,8,26.7,8,1,23.8,8,72.5,8,1,165.5,8,25.1,8,1,22.3,8,38.5,8,1,164.6,8,26.0,8,1,23.2,8,53.5,8,1,168.2,8,26.3,8,1,23.7,8,54.0,8,1,162.6,8,27.2,8,1,24.3,8,28.5,8,1,135.1,8,27.4,8,1,24.9,8,32.0,0,8,1,157.2,0,8,27.9,8,1,25.4,8,74.5,8,1,183.3,8,26.7,8,1,24.2,8,84.0,0,8,1,223.6,0,8,26.3,8,1,23.9,8,235.5,8,1,225.2,8,26.1,8,1,24.0,8
2023/10,77.5,8,1,172.3,8,17.4,8,1,17.1,8,99.5,0,8,1,172.4,0,8,16.6,8,1,16.6,8,107.5,8,1,193.1,8,13.6,8,1,14.1,8,61.5,8,1,147.2,8,15.6,8,1,15.9,8,47.0,8,1,173.8,8,15.0,8,1,15.4,8,37.5,8,1,141.4,8,16.0,8,1,16.5,8,36.0,8,1,133.5,8,15.4,8,1,15.9,8,39.0,8,1,117.5,8,17.3,8,1,17.5,8,41.0,8,1,132.0,8,16.1,8,1,16.7,8,65.0,8,1,108.1,8,16.3,8,1,16.5,8,40.5,0,8,1,108.7,0,8,17.8,8,1,17.9,8,53.5,8,1,127.5,8,15.4,8,1,16.1,8,30.5,8,1,119.9,8,17.1,8,1,17.4,8,40.0,8,1,106.9,8,18.7,8,1,18.5,8,29.5,8,1,118.1,8,18.8,8,1,18.7,8,46.5,8,1,106.1,8,19.6,8,1,19.7,8,49.5,0,8,1,118.0,0,8,19.6,8,1,19.8,8,33.0,8,1,139.8,8,18.8,8,1,18.7,8,60.5,0,8,1,185.6,0,8,18.3,8,1,18.3,8,36.5,8,1,185.6,8,18.5,8,1,18.7,8
2023/11,259.5,8,1,204.4,8,12.8,8,1,11.9,8,187.5,0,8,1,154.6,0,8,12.0,8,1,11.1,8,144.0,8,1,135.1,8,9.9,8,1,8.8,8,134.0,8,1,85.4,8,11.0,8,1,10.2,8,173.0,8,1,101.3,8,10.1,8,1,9.6,8,109.0,8,1,80.4,8,11.1,8,1,10.6,8,143.5,8,1,76.8,8,10.5,8,1,9.9,8,109.5,8,1,72.3,8,11.8,8,1,11.3,8,102.5,8,1,73.8,8,11.1,8,1,10.5,8,103.0,8,1,58.0,8,11.1,8,1,10.5,8,108.0,0,8,1,61.2,0,8,12.5,8,1,11.9,8,86.0,8,1,66.5,8,10.4,8,1,10.0,8,76.5,8,1,64.4,8,12.2,8,1,11.5,8,83.0,8,1,55.0,8,13.7,8,1,13.1,8,82.5,8,1,59.2,8,13.7,8,1,12.9,8,93.5,5,1,52.8,8,14.6,5,1,14.0,8,84.0,0,8,1,62.4,0,8,14.7,8,1,14.2,8,115.5,8,1,65.6,8,13.5,8,1,13.2,8,135.0,0,8,1,91.5,0,8,13.5,8,1,12.8,8,146.0,8,1,73.8,8,13.6,8,1,13.3,8
2023/12,228.0,8,1,295.7,8,7.5,8,1,7.0,8,119.5,0,8,1,227.6,0,8,6.9,8,1,5.9,8,109.0,8,1,210.6,8,4.6,8,1,3.3,8,57.0,8,1,110.2,8,6.1,8,1,5.1,8,77.0,8,1,99.1,8,5.2,8,1,4.4,8,54.0,8,1,68.2,8,6.0,8,1,5.4,8,80.5,8,1,77.8,8,5.4,8,1,4.7,8,44.0,8,1,55.3,8,6.7,8,1,5.8,8,41.0,8,1,58.7,8,6.0,8,1,5.2,8,49.0,8,1,49.1,8,5.9,8,1,5.3,8,30.5,0,8,1,47.5,0,8,7.5,8,1,6.6,8,32.5,8,1,50.4,8,5.4,8,1,4.7,8,23.5,8,1,47.7,8,7.1,8,1,6.2,8,29.5,8,1,43.1,8,8.4,8,1,7.8,8,20.0,8,1,48.7,8,8.5,8,1,7.7,8,15.5,8,1,49.3,8,9.5,8,1,8.5,8,19.0,0,8,1,48.7,0,8,9.7,8,1,8.8,8,24.5,8,1,52.9,8,8.9,8,1,8.3,8,19.5,0,8,1,75.1,0,8,8.7,8,1,8.1,8,24.5,8,1,73.9,8,9.0,8,1,8.3,8