ダウンロードした時刻：2024/06/06 23:43:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,和歌山,和歌山,和歌山,和歌山,和歌山,和歌山,和歌山,和歌山,和歌山,和歌山,和歌山,和歌山,和歌山,和歌山,和歌山,和歌山,和歌山,和歌山,和歌山,和歌山,和歌山,和歌山,和歌山,和歌山,和歌山,和歌山,和歌山,和歌山,和歌山,和歌山,和歌山,和歌山,和歌山,和歌山,和歌山,和歌山,和歌山,和歌山,和歌山,和歌山,和歌山,和歌山,和歌山,和歌山,和歌山,和歌山,和歌山,和歌山,和歌山,和歌山,和歌山,和歌山,和歌山,和歌山,和歌山,和歌山,和歌山,和歌山,和歌山,和歌山,和歌山,和歌山,和歌山,和歌山,和歌山,和歌山,和歌山,和歌山,和歌山,和歌山,和歌山,和歌山,和歌山,和歌山,和歌山,和歌山,和歌山,和歌山,和歌山,和歌山,和歌山,和歌山,和歌山,和歌山,和歌山,和歌山,和歌山,和歌山,和歌山,和歌山,和歌山,和歌山,和歌山,和歌山,和歌山,和歌山,和歌山,和歌山,和歌山,和歌山,和歌山,和歌山,和歌山,和歌山,和歌山,和歌山,和歌山,和歌山,和歌山,和歌山,和歌山,和歌山,和歌山,和歌山,和歌山,和歌山,和歌山,和歌山,和歌山,和歌山,和歌山,和歌山,和歌山,和歌山
,かつらぎ,かつらぎ,かつらぎ,かつらぎ,かつらぎ,かつらぎ,かつらぎ,かつらぎ,かつらぎ,かつらぎ,友ケ島,友ケ島,友ケ島,友ケ島,友ケ島,友ケ島,友ケ島,友ケ島,友ケ島,友ケ島,和歌山,和歌山,和歌山,和歌山,和歌山,和歌山,和歌山,和歌山,和歌山,和歌山,和歌山,和歌山,高野山,高野山,高野山,高野山,高野山,高野山,高野山,高野山,高野山,高野山,清水,清水,清水,清水,清水,清水,清水,清水,清水,清水,龍神,龍神,龍神,龍神,龍神,龍神,龍神,龍神,龍神,龍神,川辺,川辺,川辺,川辺,川辺,川辺,川辺,川辺,川辺,川辺,栗栖川,栗栖川,栗栖川,栗栖川,栗栖川,栗栖川,栗栖川,栗栖川,栗栖川,栗栖川,新宮,新宮,新宮,新宮,新宮,新宮,新宮,新宮,新宮,新宮,南紀白浜,南紀白浜,南紀白浜,南紀白浜,南紀白浜,南紀白浜,南紀白浜,南紀白浜,南紀白浜,南紀白浜,西川,西川,西川,西川,西川,西川,西川,西川,西川,西川,潮岬,潮岬,潮岬,潮岬,潮岬,潮岬,潮岬,潮岬,潮岬,潮岬,潮岬,潮岬
年月,降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃)
,,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,,平年値(mm),平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,,平年値(mm),平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃)
,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,,品質情報,均質番号,,品質情報
2023/1,80.5,8,1,59.9,8,3.9,8,1,3.8,8,31.5,8,1,41.5,8,7.3,8,1,6.8,8,45.5,0,8,1,48.7,0,8,6.7,8,1,6.2,8,131.5,8,1,87.6,8,-0.1,8,1,-0.3,8,133.0,8,1,80.7,8,2.9,8,1,2.9,8,172.5,8,1,99.9,8,2.5,8,1,2.4,8,83.5,8,1,68.3,8,6.6,8,1,6.0,8,183.5,8,1,91.9,8,4.2,8,1,4.0,8,65.0,8,1,110.1,8,8.1,8,1,7.6,8,67.5,8,1,60.6,8,7.3,8,1,7.1,8,118.0,8,1,113.4,8,4.1,8,1,4.2,8,92.5,0,8,1,97.7,0,8,8.5,8,1,8.3,8
2023/2,31.0,8,1,72.2,8,4.9,8,1,4.5,8,28.0,8,1,57.7,8,7.3,8,1,6.8,8,23.5,0,8,1,62.0,0,8,7.3,8,1,6.7,8,58.0,8,1,97.4,8,0.6,8,1,0.4,8,37.0,8,1,97.7,8,3.9,8,1,3.8,8,57.5,8,1,135.1,8,3.5,8,1,3.5,8,24.5,5,1,87.8,8,7.1,8,1,6.6,8,35.5,8,1,113.7,8,5.5,8,1,4.8,8,35.5,8,1,151.8,8,9.5,8,1,8.3,8,18.5,8,1,99.9,8,8.0,8,1,7.9,8,41.5,8,1,161.8,8,5.3,8,1,5.2,8,25.5,0,8,1,118.1,0,8,9.3,8,1,8.8,8
2023/3,87.0,8,1,111.0,8,10.4,8,1,7.9,8,103.5,8,1,86.7,8,12.0,8,1,9.5,8,84.0,0,8,1,96.9,0,8,12.7,8,1,9.9,8,127.5,8,1,141.7,8,6.7,8,1,4.0,8,132.0,8,1,145.6,8,9.5,8,1,7.1,8,177.0,8,1,208.2,8,9.6,8,1,6.9,8,119.5,8,1,130.7,8,12.2,8,1,9.5,8,196.5,8,1,182.0,8,11.0,8,1,8.3,8,228.0,8,1,259.8,8,14.4,8,1,11.3,8,110.0,8,1,138.0,8,13.3,8,1,11.0,8,208.5,8,1,262.7,8,10.9,8,1,8.6,8,124.0,0,8,1,185.5,0,8,14.1,8,1,11.6,8
2023/4,138.5,5,1,105.9,8,13.8,5,1,13.2,8,141.5,8,1,83.6,8,15.1,8,1,14.0,8,170.0,0,8,1,98.4,0,8,16.1,8,1,15.1,8,190.0,8,1,141.5,8,10.2,8,1,9.4,8,258.5,5,1,156.9,8,13.3,8,1,12.3,8,328.0,8,1,235.3,8,12.7,8,1,11.8,8,226.0,8,1,141.5,8,15.1,8,1,14.3,8,307.5,8,1,199.2,8,14.2,8,1,13.2,8,293.0,5,1,299.1,8,16.7,5,1,15.7,8,122.0,8,1,136.5,8,15.9,8,1,15.1,8,367.0,5,1,296.4,8,13.9,5,1,13.3,8,119.5,0,8,1,212.3,0,8,16.5,8,1,15.6,8
2023/5,225.0,8,1,146.5,8,17.9,8,1,17.9,8,147.0,8,1,124.2,8,18.3,8,1,18.3,8,206.5,0,8,1,146.6,0,8,19.7,8,1,19.7,8,269.0,8,1,166.6,8,14.1,8,1,14.4,8,300.5,8,1,184.0,8,17.3,8,1,17.2,8,463.5,8,1,270.2,8,16.5,8,1,16.6,8,270.0,5,1,167.8,8,18.5,5,1,18.7,8,413.5,8,1,250.8,8,17.9,8,1,17.6,8,358.5,8,1,311.7,8,20.1,8,1,19.4,8,275.0,8,1,167.0,8,19.0,8,1,19.4,8,442.0,8,1,315.1,8,17.6,8,1,17.7,8,267.0,0,8,1,236.7,0,8,19.5,8,1,19.3,8
2023/6,400.5,8,1,196.2,8,21.7,8,1,21.6,8,291.0,5,1,166.2,8,21.6,5,1,21.7,8,305.5,0,8,1,183.5,0,8,23.3,8,1,23.2,8,505.0,8,1,260.3,8,18.3,8,1,18.1,8,558.0,8,1,263.4,8,21.0,8,1,20.9,8,759.0,8,1,431.6,8,20.3,8,1,20.2,8,481.5,8,1,255.4,8,22.1,8,1,22.0,8,534.0,8,1,387.5,8,21.8,8,1,21.2,8,612.5,8,1,444.6,8,23.4,8,1,22.4,8,338.5,8,1,264.9,8,22.6,8,1,22.5,8,661.0,8,1,483.5,8,21.5,8,1,21.2,8,521.5,0,8,1,364.7,0,8,22.6,8,1,22.1,8
2023/7,68.0,8,1,184.6,8,27.0,8,1,25.5,8,69.0,8,1,148.4,8,26.0,8,1,25.4,8,62.5,0,8,1,175.8,0,8,28.3,8,1,27.2,8,102.0,8,1,256.4,8,23.0,8,1,22.1,8,112.0,8,1,303.5,8,25.7,8,1,24.6,8,333.5,8,1,510.3,8,24.4,8,1,23.9,8,112.0,8,1,261.8,8,26.4,8,1,25.7,8,198.5,8,1,395.0,8,25.9,8,1,25.0,8,96.0,8,1,342.2,8,27.9,8,1,26.3,8,106.0,8,1,279.6,8,26.5,8,1,26.1,8,142.0,8,1,505.9,8,25.7,8,1,25.0,8,112.0,0,8,1,298.4,0,8,26.3,8,1,25.7,8
2023/8,188.0,8,1,123.2,8,27.2,8,1,26.5,8,125.5,8,1,105.5,8,27.7,8,1,27.1,8,133.0,0,8,1,101.8,0,8,29.1,8,1,28.4,8,364.0,8,1,192.5,8,23.6,8,1,22.8,8,242.0,8,1,215.9,8,26.2,8,1,25.2,8,411.5,8,1,344.3,8,25.0,8,1,24.6,8,221.0,8,1,186.3,8,27.0,8,1,26.8,8,347.0,8,1,262.7,8,26.5,8,1,25.7,8,426.5,8,1,276.4,8,27.8,8,1,27.2,8,181.0,8,1,188.3,8,27.7,8,1,27.6,8,779.0,8,1,406.1,8,26.0,8,1,25.6,8,461.5,0,8,1,260.3,0,8,27.6,8,1,26.9,8
2023/9,105.5,8,1,166.2,8,24.9,8,1,22.6,8,53.5,8,1,178.8,8,26.6,8,1,24.5,8,51.0,0,8,1,181.3,0,8,27.2,8,1,24.9,8,236.5,8,1,247.5,8,21.1,8,1,19.1,8,156.0,8,1,262.3,8,23.8,8,1,21.8,8,275.5,8,1,357.6,8,23.2,8,1,21.4,8,114.0,8,1,267.3,8,25.3,8,1,23.7,8,158.5,8,1,301.3,8,24.5,8,1,22.6,8,265.0,8,1,443.0,8,26.6,8,1,24.6,8,175.5,8,1,259.8,8,26.0,8,1,24.7,8,278.0,8,1,461.0,8,24.3,8,1,22.5,8,222.0,0,8,1,339.2,0,8,26.3,8,1,24.6,8
2023/10,75.5,8,1,149.8,8,16.4,8,1,16.6,8,48.0,8,1,171.6,8,19.7,8,1,19.7,8,69.5,0,8,1,160.8,0,8,19.2,8,1,19.3,8,100.0,8,1,203.3,8,12.3,8,1,13.2,8,95.5,8,1,188.9,8,15.2,8,1,15.9,8,100.0,8,1,227.4,8,14.7,8,1,15.8,8,110.0,8,1,199.1,8,18.1,8,1,18.6,8,117.0,8,1,215.0,8,16.1,8,1,17.0,8,157.0,8,1,401.0,8,20.1,8,1,20.0,8,111.0,5,1,231.3,8,19.2,5,1,20.0,8,112.0,8,1,293.2,8,15.8,8,1,17.2,8,189.5,0,8,1,286.6,0,8,20.0,8,1,20.3,8
2023/11,102.0,8,1,86.5,8,11.5,8,1,11.0,8,119.0,8,1,89.9,8,15.2,8,1,14.7,8,87.5,0,5,1,95.9,0,8,14.2,8,1,13.8,8,136.5,8,1,108.4,8,7.4,8,1,7.5,8,130.0,8,1,114.9,8,10.2,8,1,10.1,8,137.0,8,1,135.7,8,9.9,8,1,9.9,8,113.5,8,1,114.2,8,13.4,8,1,13.3,8,114.0,8,1,134.0,8,11.5,8,1,11.3,8,144.5,8,1,184.0,8,15.6,8,1,15.0,8,125.0,8,1,115.3,8,14.6,8,1,14.6,8,189.0,8,1,179.8,8,11.3,8,1,11.3,8,134.5,0,8,1,152.0,0,8,16.0,8,1,15.5,8
2023/12,43.0,8,1,62.1,8,7.1,8,1,6.0,8,24.0,5,1,62.0,8,10.2,8,1,9.5,8,29.5,0,8,1,62.7,0,8,9.4,8,1,8.6,8,75.0,8,1,89.3,8,3.1,8,1,2.2,8,48.0,8,1,83.6,8,5.8,8,1,5.0,8,78.0,8,1,95.8,8,5.3,8,1,4.5,8,40.0,8,1,72.6,8,9.1,8,1,8.2,8,89.5,8,1,86.9,8,7.0,8,1,6.0,8,108.0,8,1,109.6,8,11.1,8,1,9.9,8,67.5,8,1,81.4,8,10.2,8,1,9.5,8,131.0,8,1,112.4,8,6.6,8,1,6.2,8,137.0,0,8,1,102.9,0,8,11.3,8,1,10.6,8