ダウンロードした時刻：2024/06/06 23:54:18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,愛媛,愛媛,愛媛,愛媛,愛媛,愛媛,愛媛,愛媛,愛媛,愛媛,愛媛,愛媛,愛媛,愛媛,愛媛,愛媛,愛媛,愛媛,愛媛,愛媛,愛媛,愛媛,愛媛,愛媛,愛媛,愛媛,愛媛,愛媛,愛媛,愛媛,愛媛,愛媛,愛媛,愛媛,愛媛,愛媛,愛媛,愛媛,愛媛,愛媛,愛媛,愛媛,愛媛,愛媛,愛媛,愛媛,愛媛,愛媛,愛媛,愛媛,愛媛,愛媛,愛媛,愛媛,愛媛,愛媛,愛媛,愛媛,愛媛,愛媛,愛媛,愛媛,愛媛,愛媛,愛媛,愛媛,愛媛,愛媛,愛媛,愛媛,愛媛,愛媛,愛媛,愛媛,愛媛,愛媛,愛媛,愛媛,愛媛,愛媛,愛媛,愛媛,愛媛,愛媛,愛媛,愛媛,愛媛,愛媛,愛媛,愛媛,愛媛,愛媛,愛媛,愛媛,愛媛,愛媛,愛媛,愛媛,愛媛,愛媛,愛媛,愛媛,愛媛,愛媛,愛媛,愛媛,愛媛,愛媛,愛媛,愛媛,愛媛,愛媛,愛媛,愛媛,愛媛,愛媛,愛媛,愛媛,愛媛,愛媛,愛媛,愛媛,愛媛,愛媛,愛媛,愛媛,愛媛,愛媛,愛媛,愛媛,愛媛,愛媛,愛媛,愛媛,愛媛,愛媛,愛媛,愛媛,愛媛,愛媛,愛媛,愛媛,愛媛,愛媛,愛媛,愛媛,愛媛,愛媛,愛媛,愛媛,愛媛,愛媛,愛媛,愛媛
,大三島,大三島,大三島,大三島,大三島,大三島,大三島,大三島,大三島,大三島,今治,今治,今治,今治,今治,今治,今治,今治,今治,今治,西条,西条,西条,西条,西条,西条,西条,西条,西条,西条,新居浜,新居浜,新居浜,新居浜,新居浜,新居浜,新居浜,新居浜,新居浜,新居浜,四国中央,四国中央,四国中央,四国中央,四国中央,四国中央,四国中央,四国中央,四国中央,四国中央,松山,松山,松山,松山,松山,松山,松山,松山,松山,松山,松山,松山,松山南吉田,松山南吉田,松山南吉田,松山南吉田,松山南吉田,松山南吉田,松山南吉田,松山南吉田,松山南吉田,松山南吉田,長浜,長浜,長浜,長浜,長浜,長浜,長浜,長浜,長浜,長浜,久万,久万,久万,久万,久万,久万,久万,久万,久万,久万,大洲,大洲,大洲,大洲,大洲,大洲,大洲,大洲,大洲,大洲,瀬戸,瀬戸,瀬戸,瀬戸,瀬戸,瀬戸,瀬戸,瀬戸,瀬戸,瀬戸,宇和,宇和,宇和,宇和,宇和,宇和,宇和,宇和,宇和,宇和,宇和島,宇和島,宇和島,宇和島,宇和島,宇和島,宇和島,宇和島,宇和島,宇和島,宇和島,宇和島,近永,近永,近永,近永,近永,近永,近永,近永,近永,近永,御荘,御荘,御荘,御荘,御荘,御荘,御荘,御荘,御荘,御荘
年月,降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃)
,,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,,平年値(mm),平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,,平年値(mm),平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃)
,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報
2023/1,32.0,8,1,40.8,8,5.0,8,1,5.5,8,40.0,8,1,49.6,8,6.1,8,1,5.9,8,56.0,8,1,53.2,8,6.0,8,1,5.7,8,47.5,8,1,,0,5.6,8,1,,0,46.5,5,1,44.9,8,5.8,5,1,5.9,8,62.5,0,5,1,50.9,0,8,6.5,5,1,6.2,8,63.0,8,1,40.5,8,7.3,8,1,6.7,8,34.5,8,1,44.5,8,7.2,8,1,6.5,8,96.5,8,1,89.0,8,1.6,8,1,1.6,8,77.5,8,1,74.8,8,5.5,8,1,5.1,8,51.5,8,1,65.1,8,7.2,8,1,6.7,8,94.5,8,1,76.1,8,4.9,8,1,4.3,8,56.5,0,8,1,61.2,0,8,7.5,8,1,7.0,8,75.0,8,1,74.2,8,5.0,8,1,4.8,8,103.5,8,1,69.3,8,7.7,8,1,7.3,8
2023/2,38.0,8,1,54.0,8,5.2,8,1,5.6,8,51.5,8,1,59.8,8,6.2,8,1,6.1,8,49.0,8,1,69.1,8,6.5,8,1,6.0,8,41.5,8,1,,0,6.2,8,1,,0,41.0,8,1,56.2,8,6.1,8,1,6.2,8,49.0,0,5,1,65.7,0,8,7.6,8,1,6.8,8,45.0,8,1,63.0,8,7.8,8,1,7.4,8,29.5,8,1,59.2,8,7.7,8,1,6.8,8,52.5,8,1,98.5,8,3.2,8,1,2.5,8,46.5,8,1,87.4,8,6.9,5,1,5.8,8,46.0,8,1,75.1,8,7.8,8,1,7.2,8,53.0,8,1,94.8,8,6.1,8,1,5.2,8,52.5,0,8,1,74.8,0,8,8.2,8,1,7.6,8,67.0,8,1,91.8,8,6.2,8,1,5.7,8,56.5,8,1,90.8,8,8.1,8,1,8.0,8
2023/3,71.0,8,1,89.5,8,10.4,8,1,8.4,8,82.0,8,1,96.6,8,10.9,8,1,9.0,8,85.0,8,1,109.7,8,11.0,8,1,9.1,8,89.0,8,1,,0,11.1,8,1,,0,75.0,8,1,94.9,8,11.5,8,1,9.3,8,76.0,0,5,1,105.1,0,8,12.7,5,1,9.9,8,69.0,8,1,91.5,8,12.2,8,1,10.0,8,82.5,8,1,94.7,8,11.2,8,1,9.4,8,102.0,8,1,135.5,8,8.7,8,1,6.1,8,97.0,8,1,119.5,8,11.9,8,1,9.2,8,112.5,8,1,110.5,8,12.0,8,1,9.7,8,109.5,8,1,139.1,8,11.1,8,1,8.5,8,112.5,0,8,1,115.6,0,8,13.1,8,1,10.7,8,137.5,8,1,137.0,8,11.3,8,1,9.0,8,125.5,8,1,139.0,8,13.0,8,1,10.9,8
2023/4,195.0,8,1,98.0,8,13.5,8,1,13.1,8,144.0,8,1,97.0,8,14.3,8,1,13.7,8,142.5,8,1,103.3,8,14.3,5,1,14.0,8,146.5,8,1,,0,14.3,5,1,,0,162.0,8,1,89.2,8,14.6,8,1,14.4,8,228.0,0,8,1,107.3,0,8,15.9,8,1,14.8,8,195.0,8,1,96.3,8,15.3,8,1,14.3,8,178.5,8,1,107.1,8,14.8,8,1,13.6,8,211.0,8,1,131.0,8,12.3,8,1,11.4,8,235.5,8,1,127.5,8,15.4,8,1,14.2,8,193.0,8,1,118.2,8,14.8,8,1,13.9,8,388.5,8,1,152.1,8,14.7,8,1,13.5,8,229.5,0,8,1,116.7,0,8,16.3,8,1,15.3,8,263.5,8,1,148.3,8,14.6,8,1,14.0,8,287.0,8,1,151.5,8,16.3,8,1,15.4,8
2023/5,188.0,5,1,116.2,8,17.4,5,1,17.6,8,204.5,8,1,111.8,8,18.4,8,1,18.4,8,256.0,8,1,127.0,8,18.6,8,1,18.9,8,225.5,8,1,,0,18.3,8,1,,0,208.5,8,1,113.2,8,18.7,8,1,19.3,8,260.5,0,8,1,129.5,0,8,19.8,8,1,19.4,8,218.0,8,1,111.7,8,18.8,8,1,18.6,8,211.5,5,1,132.4,8,18.0,5,1,17.7,8,285.5,5,1,164.5,8,16.6,5,1,16.3,8,221.0,5,1,149.8,8,19.2,5,1,18.9,8,212.5,8,1,155.8,8,17.8,8,1,18.0,8,304.0,5,1,189.0,8,18.7,5,1,18.2,8,176.5,0,8,1,149.0,0,8,19.7,8,1,19.5,8,188.0,8,1,178.0,8,18.6,8,1,18.5,8,192.5,8,1,199.1,8,19.3,8,1,19.5,8
2023/6,196.0,8,1,186.3,8,21.3,8,1,21.3,8,208.0,8,1,196.2,8,22.0,8,1,22.0,8,160.5,8,1,208.9,8,22.6,8,1,22.5,8,172.5,8,1,,0,22.2,8,1,,0,172.0,8,1,175.8,8,22.5,8,1,22.7,8,274.5,0,8,1,228.7,0,8,23.1,8,1,22.9,8,265.5,8,1,196.4,8,21.8,8,1,21.9,8,268.0,8,1,243.7,8,21.3,8,1,21.2,8,320.5,8,1,290.0,8,20.3,8,1,20.1,8,326.0,8,1,282.9,8,22.6,8,1,22.6,8,326.5,8,1,285.7,8,21.2,8,1,21.0,8,395.5,8,1,311.0,8,21.9,8,1,21.8,8,341.0,0,8,1,286.0,0,8,22.9,8,1,22.8,8,339.0,5,1,319.6,8,22.1,5,1,21.9,8,356.0,5,1,318.2,8,22.7,5,1,22.6,8
2023/7,160.0,8,1,194.6,8,25.6,8,1,25.3,8,156.0,8,1,191.8,8,26.5,8,1,26.2,8,140.0,8,1,185.6,8,27.1,8,1,26.6,8,145.5,8,1,,0,26.6,8,1,,0,116.0,8,1,198.7,8,27.1,8,1,26.9,8,273.5,0,8,1,223.5,0,8,28.0,8,1,27.1,8,240.5,8,1,225.7,8,26.6,8,1,26.0,8,168.0,8,1,207.8,8,26.5,8,1,25.4,8,312.0,8,1,286.9,8,24.6,8,1,24.0,8,173.5,8,1,234.9,8,27.1,8,1,26.7,8,171.0,8,1,218.7,8,25.5,8,1,24.8,8,164.0,8,1,282.7,8,26.5,8,1,25.8,8,151.0,0,8,1,245.0,0,8,28.0,8,1,26.8,8,166.0,8,1,314.5,8,26.7,8,1,25.8,8,105.0,8,1,247.6,8,27.4,8,1,26.5,8
2023/8,68.0,8,1,93.5,8,27.4,8,1,26.8,8,123.5,8,1,93.8,8,28.1,8,1,27.4,8,141.0,8,1,125.2,8,27.8,8,1,27.4,8,384.5,8,1,,0,27.3,8,1,,0,204.0,8,1,162.6,8,28.0,8,1,27.9,8,76.5,0,8,1,99.0,0,8,28.9,8,1,28.1,8,83.5,8,1,93.8,8,27.9,8,1,27.5,8,118.5,8,1,106.4,8,27.1,8,1,26.5,8,308.0,8,1,224.3,8,25.1,8,1,24.5,8,119.5,8,1,138.1,8,27.7,8,1,27.4,8,134.5,8,1,104.9,8,26.9,8,1,26.2,8,162.5,8,1,140.3,8,27.2,8,1,26.6,8,247.5,0,8,1,177.1,0,8,28.3,8,1,27.7,8,311.0,8,1,259.6,8,27.0,8,1,26.5,8,227.0,8,1,186.9,8,28.0,8,1,27.5,8
2023/9,15.5,8,1,133.4,8,25.7,8,1,23.4,8,15.5,8,1,165.2,8,26.3,8,1,24.0,8,36.5,8,1,230.1,8,26.1,8,1,23.7,8,65.0,8,1,,0,25.5,8,1,,0,45.0,8,1,232.5,8,26.0,8,1,24.1,8,7.5,0,8,1,148.9,0,8,27.3,8,1,24.6,8,14.5,8,1,151.7,8,26.7,8,1,24.7,8,23.0,8,1,147.0,8,25.8,8,1,23.5,8,41.5,8,1,246.8,8,23.3,8,1,20.7,8,28.0,8,1,175.6,8,25.9,8,1,23.7,8,29.0,8,1,193.9,8,25.3,8,1,23.4,8,37.0,8,1,197.8,8,25.4,8,1,23.0,8,38.5,0,8,1,215.9,0,8,26.8,8,1,24.5,8,68.5,8,1,294.5,8,25.2,8,1,23.2,8,85.5,8,1,228.2,8,26.5,8,1,24.4,8
2023/10,29.0,8,1,96.3,8,17.3,8,1,18.0,8,38.0,8,1,122.2,8,18.5,8,1,18.6,8,10.5,8,1,151.9,8,18.4,8,1,18.4,8,23.0,8,1,,0,17.7,8,1,,0,40.5,8,1,142.5,8,18.2,8,1,18.6,8,7.5,0,8,1,113.0,0,8,19.4,8,1,19.1,8,10.0,8,1,108.5,8,19.7,8,1,19.8,8,11.0,8,1,97.6,8,18.8,8,1,18.6,8,22.5,8,1,134.6,8,13.7,8,1,14.6,8,21.0,8,1,124.0,8,17.1,8,1,17.8,8,19.5,8,1,138.6,8,19.2,8,1,19.2,8,23.5,8,1,125.0,8,16.0,8,1,17.2,8,16.0,0,8,1,129.8,0,8,19.1,8,1,19.3,8,23.5,8,1,153.5,8,16.9,8,1,17.6,8,24.0,8,1,148.2,8,19.0,8,1,19.3,8
2023/11,17.0,8,1,66.0,8,13.3,8,1,12.5,8,32.0,8,1,69.6,8,13.7,8,1,13.0,8,48.5,8,1,70.5,8,13.7,8,1,12.9,8,50.5,8,1,,0,13.1,8,1,,0,53.5,8,1,69.5,8,13.5,8,1,13.2,8,47.0,0,8,1,71.3,0,8,14.8,8,1,13.6,8,45.5,8,1,66.4,8,15.1,8,1,14.4,8,53.5,8,1,71.1,8,14.3,8,1,13.5,8,101.0,8,1,97.8,8,9.2,8,1,8.8,8,68.0,8,1,94.5,8,12.5,8,1,12.1,8,44.5,8,1,85.8,8,15.0,8,1,14.4,8,94.5,8,1,101.5,8,11.7,8,1,11.6,8,82.5,0,8,1,86.4,0,8,14.8,8,1,14.1,8,92.0,8,1,96.6,8,12.3,8,1,11.9,8,46.5,8,1,104.4,8,14.7,8,1,14.3,8
2023/12,35.0,8,1,50.1,8,7.9,8,1,7.7,8,33.0,8,1,59.4,8,8.7,8,1,8.1,8,27.5,8,1,59.3,8,8.6,8,1,7.9,8,27.5,8,1,,0,8.1,8,1,,0,27.5,8,1,64.5,8,8.5,8,1,8.3,8,37.0,0,8,1,61.8,0,8,9.3,8,1,8.5,8,28.5,8,1,61.9,8,9.8,8,1,9.1,8,33.0,8,1,59.9,8,9.3,8,1,8.7,8,92.5,8,1,105.0,8,4.3,8,1,3.6,8,74.5,8,1,94.9,8,7.6,8,1,7.0,8,63.0,8,1,74.4,8,9.9,8,1,9.2,8,88.5,8,1,91.0,8,6.6,8,1,6.3,8,58.5,0,8,1,70.2,0,8,9.7,8,1,9.1,8,93.5,8,1,84.8,8,7.1,8,1,6.6,8,66.5,8,1,80.8,8,10.0,8,1,9.4,8